"TCGA-E9-A1N6" "TCGA-E9-A1N8" "TCGA-E9-A1N9" "TCGA-E9-A1NA" "TCGA-E9-A1ND" "TCGA-E9-A1NE" "TCGA-E9-A1NF" "TCGA-E9-A1NG" "TCGA-E9-A1NH" "TCGA-E9-A1NI" "TCGA-E9-A1QZ" "TCGA-E9-A1R0" "TCGA-E9-A1R2" "TCGA-E9-A1R3" "TCGA-E9-A1R4" "TCGA-E9-A1R5" "TCGA-E9-A1R6" "TCGA-E9-A1R7" "TCGA-E9-A1RB" "TCGA-E9-A1RC"
"163126" 519 782 1298 1411 1391 1010 719 1495 1437 1044 1166 1499 1052 1017 1282 1648 1032 456 1401 887
"493861" 79 170 288 38 113 172 132 98 120 136 133 87 144 124 774 92 37 30 91 175
"84285" 1658 2580 3263 4204 3838 4434 2979 2817 2396 3314 3245 2595 3562 3336 5508 4842 3628 3478 3572 3366
"1964" 6749 14037 20452 15803 18706 20818 13839 13361 12231 11584 16011 16792 18619 19590 20985 11369 12362 20930 16129 16864
"10289" 1701 1091 3489 2464 2695 2747 2072 3934 3278 2586 3468 4244 1617 3612 3490 3942 1913 1727 5114 3337
"10209" 21474 19932 38298 47874 29172 40652 34431 42702 35750 48004 66752 56475 67129 51189 41869 73616 52835 76245 37579 37717
"27102" 15884 18677 31638 29432 20480 26094 13180 17504 16715 22428 30138 21003 24289 31858 42956 32905 29585 52247 41892 36301
"5610" 2329 2428 3697 3982 7130 7475 2574 3355 2534 2666 2424 1167 3258 2427 5268 3742 1472 4866 2440 3247
"9451" 2553 5237 6795 5635 3068 5737 3826 4213 5788 2847 3559 3560 4792 4914 6626 5825 3288 11584 7109 5598
"440275" 6386 4713 4931 6004 5755 8398 7849 9947 8665 7019 9840 13437 8020 8529 6138 13809 7624 7238 18380 5785
"83939" 4416 6998 8866 9465 6944 9134 12175 10136 12030 8568 8547 9086 8221 13513 6468 21737 7058 17170 10884 11727
"1967" 3273 4103 3670 5503 6371 4169 4730 4928 4469 6492 6034 4368 3081 4442 4522 8708 5905 6819 8341 6653
"8892" 1401 1306 2072 3043 4024 1668 2495 2772 3077 3112 2187 2092 1816 3314 1596 3549 1744 1394 1565 3114
"8891" 1759 1723 3977 2566 3768 2665 1801 2160 2137 2011 2789 2245 3512 2796 1764 3171 1789 2137 5241 1750
"8890" 2014 2715 2730 3999 3131 2851 2427 3425 4844 3244 2735 4163 4096 3650 4124 4901 3467 4309 2724 3116
"8893" 3621 3412 6027 5203 5429 4642 4691 4918 9086 5099 5857 5833 6345 5680 6731 8554 5640 10539 8176 7142
"1965" 4373 4120 9999 7814 9101 6652 7428 9360 7384 8793 6478 7582 5034 10363 6763 13249 5188 6851 8858 13153
"8894" 9089 8046 11814 10224 11821 11066 5746 9652 7122 11300 12113 7127 9203 11607 10848 17767 14729 16739 18749 15222
"1968" 92974 28858 25196 39920 24137 37550 28764 27504 30207 28371 29247 40198 27253 55632 25480 41457 34075 55297 58279 35981
"8661" 22260 34457 43037 33983 24386 28003 14206 26610 29288 18519 20419 28111 22417 23099 32622 54935 23935 39685 30533 30268
"8662" 14779 22937 24270 28613 29977 21302 7887 12530 12960 14168 17902 15924 19201 19165 31779 21468 18407 28819 28223 19368
"728689" 16792 49358 27552 23355 32625 22467 33675 34333 59972 66973 18409 28959 30368 50837 65236 56743 69372 34643 34822 87199
"8663" 7142 20992 12192 10028 13423 9398 14352 14487 25380 28612 7846 12512 13163 21936 27969 24411 29540 15249 15131 37634
"8664" 13383 16175 17129 12219 15150 12116 17982 12072 16790 11925 19255 24537 11270 16163 9618 27686 12507 24831 15888 12432
"3646" 19522 29474 43058 27611 20852 38452 25119 26458 17402 24735 25332 19788 33635 27063 26995 24602 17672 34281 54808 36571
"8665" 6635 26605 13042 8833 10329 11950 9881 12631 13072 12397 13566 21904 9892 12840 15280 18040 8833 18675 15637 10148
"8666" 3867 15068 32718 20181 10787 7073 8012 6240 9816 8015 6146 12168 10107 5706 10339 14324 9644 10681 8751 4129
"8667" 15705 23227 47174 22417 13223 24161 28801 19352 21162 48346 24073 32128 21776 27372 29201 328975 18563 49331 63256 32388
"8668" 12553 13378 22678 17802 17268 15944 16384 16187 16337 23213 19219 21887 20934 13256 17757 13408 16773 10161 36879 11177
"8669" 5732 4206 5614 6006 5535 11578 5992 7961 6645 6482 7676 6845 8689 10184 5740 14079 6446 12773 11714 3340
"27335" 4652 5916 9168 10034 8233 7663 7969 10724 11007 11519 9937 13036 9148 7717 10213 15516 8285 5686 9154 6735
"51386" 11521 24927 40727 19143 15687 19474 22165 18044 29266 12904 29412 49406 15169 20783 11265 35919 13674 45457 21837 18805
"10480" 6438 13544 12629 9546 10519 10860 9233 12804 8561 11641 12602 10789 11000 14157 9809 19009 8002 13807 23942 9328
"1973" 43631 35956 55865 63165 61351 41761 37234 56058 49269 68651 37479 31937 47160 45034 46393 96334 39813 49722 64783 55138
"1974" 13707 33866 39154 42832 18891 39782 28958 31252 30387 19638 27983 32179 37988 29643 33240 36841 25986 62582 40325 22478
"9775" 5983 7182 11154 21920 12184 12713 5019 7670 8224 21805 13768 9098 12415 9214 13282 17709 10544 11539 13048 12548
"1975" 19988 62820 36098 59244 22142 53301 37342 47276 42142 36529 59564 73365 50751 67161 64639 103421 62232 106940 75372 90872
"253314" 6 0 0 0 0 36 119 0 0 1006 59 0 655 36 2 36 56 0 10 169
"9470" 4305 3402 6538 6959 5666 6281 3456 5287 7086 5296 6083 5691 5539 7152 8227 10754 5265 13176 6109 7204
"317649" 1783 943 2976 2760 4999 4685 2380 5269 7498 2390 6374 10093 2632 7980 4582 5476 3561 5191 11997 6066
"1978" 2146 2097 1096 3375 2255 1050 2210 2168 2084 1738 1075 1508 11812 1099 1992 1705 3284 1421 11312 4566
"1979" 11718 18278 34777 15263 14399 22873 12698 16217 17830 12442 21064 20778 20362 17904 18761 26337 11959 38139 44159 23444
"8637" 291 279 408 801 400 373 604 335 601 1124 666 956 1087 675 1001 3488 1705 880 460 1533
"56478" 2321 1734 3884 1986 1878 2831 1907 2190 3512 2133 4181 4288 2633 2298 3943 5209 2570 2468 2628 3330
"1977" 5142 2843 9774 5973 5972 10785 3245 6819 3794 5261 7270 7035 8566 6131 5536 10189 6236 18397 6900 7853
"1981" 38419 40897 43367 43486 59661 42364 32854 35280 50146 33304 22193 25757 52807 27355 41292 50526 37026 66554 64435 49560
"1982" 78132 59745 109959 96060 83981 149258 67101 127457 122989 88793 103491 101453 71594 130524 126742 151383 91291 182207 189142 106090
"8672" 5669 6735 10139 10764 5944 13754 8223 12331 12960 6454 6353 10430 12195 10771 13488 12962 7826 15304 13126 8538
"7458" 20474 23041 126538 31493 59300 27649 25646 31152 33636 28493 32533 32045 30203 19697 25419 45768 26829 28104 31497 45586
"56648" 1062 470 956 991 558 1080 1303 1589 1305 843 1711 528 625 905 679 1151 477 535 1098 906
"143244" 1291 722 1492 821 1695 1457 1289 1453 1186 2613 1481 1116 1161 1712 1086 2718 1007 1131 2149 1444
"1984" 20006 16260 26052 15462 41616 20960 29979 25288 31014 50492 19096 17555 25296 22075 22646 41846 21123 23142 41239 25104
"9669" 9985 14755 23920 16233 19461 20870 12756 21202 19761 20856 19388 15683 17018 24051 15944 25534 11909 26038 20684 19263
"1983" 15306 12034 23484 26626 26815 18575 14936 15606 18758 12385 16870 20061 15170 20976 20407 35019 13967 23831 18012 31074
"3692" 5940 8092 7870 8470 12773 6291 8103 7100 7964 17036 8537 10611 13286 9396 12633 13748 11983 9088 10336 10310
"55520" 211 539 241 504 578 453 315 397 481 261 675 270 466 635 286 977 129 141 406 580
"60528" 3634 3538 5689 3917 6718 4566 4686 5972 4999 7802 3837 4113 10197 5799 6406 9720 4815 5433 5822 5216
"1991" 0 0 0 0 0 0 2 2 8 18 5 16 0 0 2 4 7 14 0 0
"1994" 6818 11233 10515 9393 8507 10341 7634 6359 9598 7486 8018 10211 11948 7034 11709 11036 8606 18592 13221 7863
"1993" 130 1144 260 51 13 62 33 244 55 50 33 152 34 50 66 127 62 39 366 584
"1995" 0 28 1070 4 0 4 53 0 2 0 2 1 0 1 0 1 5 24 0 0
"1996" 6 4 113 2 20 19 8 18 31 5 4 6 15 6 10 8 8 3 16 13
"1997" 5014 3063 7222 4490 6393 11641 6465 11105 9201 7025 8228 13343 4596 16927 9157 13797 5771 29410 5300 6065
"1998" 2197 1868 5604 4269 2846 5310 3271 4794 4408 3233 4518 5125 3744 4685 3040 7143 2902 6603 3376 6435
"1999" 4719 25221 9934 18763 26335 15242 9441 6798 19744 20001 9676 9615 26378 27458 14208 17122 7582 17483 12388 33109
"2000" 2601 2032 2631 7925 7354 4470 2336 2193 1979 2087 3015 2080 2617 3254 6168 2217 3077 2826 5830 3464
"2001" 96 2220 743 442 2942 1883 299 20 316 48 3481 243 149 2428 2794 5300 20 176 815 933
"392617" 222 77 285 574 186 122 398 316 349 313 24 194 165 120 143 260 90 136 64 160
"114794" 2 2 562 43 10 129 0 9 20 131 0 12 402 5 2 204 294 4899 2 95
"2002" 2231 4263 5309 2564 5328 3516 2524 2022 3878 4777 2103 4494 4890 3262 4412 3452 4252 4285 6415 3862
"2004" 1478 780 2883 1838 1833 3591 2910 3966 3713 1366 1988 2757 2700 3094 2952 3046 1284 4974 884 2096
"2005" 298 924 969 1276 377 1901 514 621 1046 584 554 352 627 898 1157 2010 306 3502 996 2004
"22936" 2102 1344 2095 6211 5133 4484 2846 13183 44412 3243 7084 2947 4354 20223 4510 26454 2738 12196 4374 7046
"80237" 1163 434 690 982 584 1749 917 872 921 1062 1447 1013 5226 1775 2017 2127 2780 2766 2159 281
"8178" 1157 2668 2305 4012 2783 2294 2129 1630 2276 1846 1160 2220 2730 1450 2860 2151 1740 3733 1133 1498
"9844" 803 2281 1333 1178 2216 3924 1948 3164 2520 1648 3053 1781 1444 1501 2378 3166 1019 886 2289 889
"63916" 3846 3128 5528 4026 6002 8194 4980 5521 5610 6554 7127 4347 16707 5655 10926 23054 6201 5443 7350 9122
"79767" 1932 1177 1084 6475 1223 1929 1282 1027 2422 1879 1258 1164 3354 1713 2689 3280 3133 2335 1454 2820
"55531" 118 190 241 148 203 247 181 160 258 217 226 198 294 179 323 343 216 288 286 398
"255520" 1018 530 2345 2247 1176 2074 930 1886 1934 1614 1783 1798 1462 1385 1170 3598 1210 6116 946 2303
"84173" 1054 758 1699 1731 1716 1632 1469 1190 2096 1649 2538 3081 2019 1490 3651 2446 1991 1994 1133 1315
"2006" 1914 4222 8950 1677 7824 8242 12100 4090 9074 6625 3467 10323 8415 756 3009 9325 8020 4523 1084 1052
"84337" 2163 5185 3039 4377 3158 2752 4484 2055 4393 4089 2686 4228 4113 2331 4086 4112 4495 4456 4860 2379
"64834" 5296 5041 7571 9699 13931 6908 6269 6037 7106 7954 7976 7672 9133 5141 7706 5230 6281 18603 17473 4523
"54898" 348 2128 339 8007 174 7567 158 347 352 2502 5612 20318 7199 23 2874 127 6366 9975 290 2006
"83401" 6 124 49 59 10 22 7 22 38 8 120 71 15 58 34 69 133 10 41 27
"6785" 182 355 191 72 387 253 229 375 207 199 108 97 405 198 779 144 376 84 290 183
"60481" 22271 5592 26352 52169 9864 19977 56641 17908 84497 60932 88870 66347 20052 57560 14869 60403 27227 34268 51518 15392
"79071" 1093 1531 1385 3592 1028 2452 781 1965 806 1724 934 334 1377 1539 2408 2696 2228 6351 4501 1783
"79993" 752 829 1791 1234 2656 1914 163 124 251 730 1215 672 599 582 2847 359 2557 758 483 2058
"55250" 3606 6510 6961 68676 3465 55117 5041 12098 10334 43005 52262 14128 23314 7591 6256 72116 5202 83401 8846 28154
"55140" 1825 1619 1725 3437 2839 4441 2315 4300 3321 2283 3898 5506 3225 5030 4811 3727 6560 2561 6062 8006
"26610" 878 494 986 1107 869 1559 937 1689 1449 1248 1205 1617 1315 1846 1566 2108 745 2051 2180 1162
"64123" 1501 393 4672 1257 1809 4946 3201 5270 3951 1752 4813 4767 3444 2290 1884 2822 1138 3111 1415 1381
"133418" 2336 147 1681 3378 2714 8260 3147 5386 2512 2800 4546 1252 3809 10834 9187 16146 4535 19685 1076 7745
"51705" 612 182 2913 459 412 2913 1280 1451 1761 779 2996 2544 2002 766 996 1290 583 2935 630 429
"2010" 3510 3642 12220 4147 10040 3444 4866 3906 5733 6824 4963 6567 5481 4733 12888 4843 6531 3376 6517 5626
"146956" 301 407 663 1113 665 499 400 323 187 847 541 424 532 172 699 612 580 769 1366 526
"197342" 115 154 53 168 74 147 181 55 180 130 28 99 298 60 1759 399 430 217 202 286
"10436" 1751 4657 4353 3415 3348 2734 2664 2179 2187 4769 3948 2458 3183 2742 1193 4573 3885 3955 4569 4266
"129080" 162 386 2368 61 146 406 100 82 99 261 320 304 1572 274 1093 1424 261 758 455 653
"11117" 9924 2183 6336 9236 6452 7167 24239 15415 12836 9679 1478 4436 6934 5480 9112 10663 4838 3913 1989 3475
"84034" 792 359 562 2131 3861 1420 1098 3214 1470 757 1531 1295 751 1974 3072 727 609 1459 727 597
"90187" 57 145 146 80 93 161 177 25 63 111 115 79 119 50 109 108 86 79 114 189
"2009" 1653 1232 3088 4136 1419 1727 3255 2551 2479 2187 1984 842 1793 2982 1768 2258 1536 2365 1470 3607
"24139" 975 1063 1495 3001 3250 3543 2534 3906 3168 4639 2440 5193 4900 3668 6699 11400 4771 6272 1325 2928
"256364" 1325 1341 2674 2557 2582 3196 2600 3473 2882 2575 2471 3644 5262 1665 5078 4034 4260 2669 3733 1394
"27436" 3200 8145 10550 5612 9427 9312 5085 6497 5842 5511 5048 4370 5440 6496 6983 6582 2658 12549 7953 7469
"161436" 85 279 287 400 197 306 164 170 181 186 230 240 254 206 491 269 143 154 160 272
"400954" 29 132 103 159 153 167 79 36 107 137 118 105 223 125 401 194 46 251 78 70
"2012" 8623 31750 10396 8029 17790 12839 17736 28734 14470 16691 21702 20796 7800 17623 5411 31110 9048 9513 8950 17090
"2013" 13443 2974 28694 18060 13057 23298 23692 22709 29216 37899 19910 33021 27006 31029 127340 32517 40275 80721 66767 83836
"2014" 1587 682 1060 3486 3798 2021 4206 4548 2678 2523 2868 3284 1406 3156 2785 2268 1474 564 2192 1595
"2015" 33 12 35 113 139 95 111 159 131 93 160 85 126 49 168 79 40 20 45 8
"30817" 379 799 566 699 3441 915 572 1180 484 431 556 355 550 1016 1384 473 266 428 575 317
"84658" 4 2 2 2 8 20 0 4 20 2 22 16 12 25 18 0 0 0 6 2
"326342" 45 31 137 68 127 106 77 120 151 65 104 59 75 187 121 172 58 101 95 139
"2016" 94 4 52 531 0 167 2 87 446 53 215 174 628 32 600 31 98 3 464 30
"196047" 377 298 425 422 329 521 381 1062 813 673 544 796 557 391 523 1351 464 566 509 573
"2018" 138 21 71 121 30 72 146 523 290 301 99 278 84 69 33 382 81 67 41 106
"2019" 464 2307 68 225 116 75 745 447 247 153 42 233 74 110 55 1162 91 28 98 169
"2020" 85 761 5 2 63 2 32 16 15 0 2 11 4 4 0 0 0 18 39 373
"55740" 22755 17523 42623 21971 11755 31182 20585 25886 34473 16323 16443 17923 22152 31943 14144 16628 8514 87284 59353 47370
"8507" 8506 10477 7933 28140 4560 12598 7415 22829 10550 7225 4418 4093 18336 13881 17871 37406 2328 11519 7766 8153
"23052" 5793 15410 2949 8470 5286 9323 6583 5807 3389 5230 11408 9094 1536 8007 7881 16984 4599 4835 12944 12065
"2021" 514 262 1087 550 662 485 560 578 1229 620 342 1136 1152 500 1429 620 487 505 1794 636
"8909" 3 108 30 11 154 34 9 38 25 2 18 40 35 10 25 4 12 8 3 16
"64772" 1164 2054 1115 1172 2183 1638 1079 579 1195 2482 798 845 4162 1145 3283 3388 2016 2598 1248 1361
"2022" 7530 1519 8883 5907 20086 10148 20231 11531 14092 7342 9240 15327 13251 17029 21797 12808 6091 9670 6561 3524
"375704" 16 471 481 24 613 262 4 27 42 72 97 385 324 6 340 8 1275 90 110 18
"219670" 19 49 26 61 29 10 46 63 47 393 6 24 49 7 11 48 7 11 12 1018
"2023" 60898 112313 41817 117459 195657 50528 111815 104960 51868 93275 48024 50149 52917 60106 68561 49159 49766 35899 141243 116972
"2026" 973 4022 1748 4764 1824 1003 3828 6557 3933 5454 10282 6663 5045 5929 2686 12509 16733 266 4723 18630
"2027" 64 147 166 192 115 132 244 172 355 569 265 192 263 501 441 468 386 95 396 290
"58478" 2911 2189 6578 5641 3989 5254 2747 3857 3910 4210 4705 3302 5703 3495 3740 6905 5954 8358 4089 4765
"55556" 920 1443 1641 1727 1532 1733 4389 795 2431 4201 1482 2886 1757 1830 2454 6221 2398 5563 2335 3226
"55068" 220 91 219 277 168 138 729 1130 416 650 205 614 142 698 229 6950 243 447 605 263
"10495" 1158 1615 1915 1551 2111 1840 1195 1603 1465 1073 1458 1682 1272 2014 1402 1938 1129 2918 2101 962
"2028" 1274 306 1520 1653 692 1025 5492 1108 2388 1851 887 1386 853 751 643 1612 853 915 926 836
"5167" 7731 1835 5612 10185 772 4210 8162 14881 18400 13569 7365 5162 6997 9369 5909 57185 11511 34421 7580 9133
"5168" 558 478 2264 191 2181 5878 917 4923 1816 449 7952 9291 1942 1647 2204 1609 638 1257 3666 556
"5169" 56 138 139 21 17 114 235 73 784 165 92 80 63 60 86 74 71 87 101 65
"22875" 315 689 2516 785 2081 3245 893 3767 1970 1455 3080 2583 3709 6947 3452 5160 1735 11603 1574 4337
"59084" 383 1203 9905 437 3078 1232 1916 12163 1992 1376 1850 7854 4428 9118 4672 7543 2383 7699 5040 6200
"133121" 40 208 64 40 109 212 104 52 111 89 134 64 92 32 63 109 45 82 69 64
"2029" 19154 10572 22253 45923 17702 28511 23254 15810 41560 29650 25129 24143 22870 32379 27403 99849 14912 34294 29590 55700
"150350" 20 53 26 8 8 108 10 37 29 45 102 49 22 31 55 25 0 4 67 271
"953" 4479 3236 11852 5814 5716 12608 11854 9076 10356 6754 5812 5043 7182 6514 8512 7593 3983 8856 6005 3675
"954" 1312 877 369 554 1034 564 1371 539 1787 758 528 589 3455 744 1686 189 319 795 771 793
"956" 221 310 368 129 95 91 453 1763 1397 411 135 204 207 1384 1359 1364 46 195 364 922
"9583" 1759 1936 1520 5019 2627 3449 1871 3413 3659 1767 2301 2932 2064 5205 5705 3608 3850 5640 2661 8064
"957" 363 546 1782 780 820 893 839 1084 1572 971 657 1123 669 1425 1189 1496 788 1251 812 1706
"955" 4445 7021 5366 7027 8527 5669 7732 4408 7817 10790 8831 7633 9696 7726 10265 9374 11600 6898 8287 7904
"57089" 2458 2850 3850 3489 2475 1890 3373 3882 4507 2128 1457 1628 1680 4885 1758 4215 1881 2913 1928 3444
"377841" 117 25 8 27 38 83 254 120 603 247 611 322 170 1358 1029 211 505 292 32 253
"56943" 4086 1973 5411 2973 3733 4242 3148 2731 2010 5152 2727 2335 4666 3563 4882 4897 3308 4881 6886 5061
"8320" 40 33 152 142 310 1475 57 48 64 8 486 200 223 18 423 58 14 77 42 157
"2033" 8393 7991 12915 7678 9150 15045 8426 8405 12575 8029 9473 11597 9362 9453 8765 21459 8458 27019 9717 15401
"347918" 311 696 508 635 416 760 824 605 776 799 450 418 669 547 1062 1149 949 479 976 1582
"57634" 4080 7419 6692 6793 5097 8032 4311 5447 5004 5997 5087 6105 5539 5511 9887 9550 6710 10910 7752 9812
"2034" 10880 1986 13937 13641 12496 15480 15169 16809 16306 6557 19307 19895 22452 9688 19872 18228 5382 10982 13238 10714
"2036" 6018 4876 7802 6987 10803 6171 6972 5753 10915 11647 10861 14695 12540 11626 17210 27604 13223 10420 8066 20647
"2037" 3441 26031 5113 4366 4632 8942 7068 11971 6644 3684 7342 5673 4135 5592 7056 5218 3497 11579 4581 2646
"23136" 1142 278 1557 2405 5010 6446 3888 2918 1731 2308 7503 4288 2038 2419 9360 2181 8468 13397 1527 2419
"64097" 1095 459 3324 2257 1545 1508 1350 2997 2587 1644 1440 1188 1110 4463 2897 1946 1818 2677 748 4537
"54566" 3056 1084 2269 1964 5388 2155 785 2396 863 1611 1473 4644 1271 4200 761 4591 2693 7336 1956 3775
"57669" 3922 920 2843 2809 1341 5507 851 2434 2667 1592 3989 3505 6462 3884 8362 9829 3407 9797 2238 6738
"2035" 2868 8730 8276 4510 3302 15905 2576 4480 3973 3391 8097 10094 9574 4629 11252 5395 9570 18200 7185 4519
"2038" 2 0 0 0 2 3 0 0 8 0 122 96 14 3 0 22 2 6 4 8
"80314" 1400 2742 4257 2756 1287 4352 1572 2504 3138 1798 1894 2857 2656 2923 2279 3699 1577 4274 3444 3213
"26122" 1457 3565 3884 3211 2362 4869 2323 3123 3265 1656 2568 4514 3674 4009 3996 4192 1742 5866 2322 3521
"4072" 14794 36501 37559 21399 9195 25206 19821 14353 25326 14187 11386 10036 14943 16804 26447 13739 11591 30512 26162 16457
"54749" 1213 446 665 1018 408 4068 2453 3807 1426 699 1401 1302 4382 904 1224 2116 1930 4030 2724 1153
"255324" 20 7 4 1 291 0 3 80 16 0 0 18 16 7 0 9 0 1 38 0
"284656" 481 415 1023 1948 465 1212 486 140 823 954 490 876 1682 436 1684 1058 1798 694 239 854
"2041" 434 1413 1400 1013 4440 1385 852 987 986 955 1329 952 2806 423 1529 4760 517 1440 1273 612
"1969" 680 888 1026 1236 4592 876 2489 2543 2045 1223 1055 1106 1112 2144 997 791 681 495 884 580
"2042" 239 39 333 189 134 290 674 9693 580 849 261 325 196 189 8370 6329 208 464 130 1108
"2043" 656 2168 929 2601 3349 2042 1625 1895 1078 282 987 653 956 1318 733 830 290 519 774 391
"2044" 4 8 8 16 0 3 7 5 18 0 6 9 2 9 2 2 2 17 38 1
"285220" 17 9 0 2368 4 141 2 10 7 4 26 147 169 2 214 2 12 9 509 229
"2045" 106 1062 72 1515 7 97 0 79 23 12 40 13 14 20 268 280 34 4 67 64
"2046" 47 655 29 290 0 84 75 75 50 8 4 424 415 59 63 9 142 35 156 8
"2047" 95 766 303 52 64 423 208 493 250 130 281 244 286 107 121 131 71 131 64 61
"2048" 1289 247 927 1105 3523 1406 781 1085 860 738 583 429 1725 811 2877 647 556 264 671 361
"2049" 1892 15418 6526 5661 5721 2876 4479 2240 6891 3593 1430 4314 5841 2455 1684 7168 3660 2833 1542 3954
"2050" 7937 16056 11071 13743 17171 6969 7813 5746 14220 12574 7626 10043 14710 5741 6147 10962 9487 12433 10470 12442
"2051" 267 831 342 323 2663 549 288 155 362 200 443 382 155 194 353 129 87 88 477 95
"2052" 10459 1653 8485 14501 5658 19721 13251 9062 7604 11449 15701 13715 37747 12788 16039 25227 11681 52789 15413 27118
"2053" 489 333 482 1900 1355 2375 1741 1780 1611 2669 3926 3348 2172 3309 2780 3781 2689 4279 2138 8781
"79852" 19 83 16 23 39 18 69 71 53 38 139 24 20 32 42 53 40 12 87 13
"253152" 105 632 112 109 55 389 44 110 60 52 1225 182 606 177 1382 156 328 8 663 80
"9852" 2213 2881 5686 9943 3148 5676 3177 4934 6126 4330 4033 4468 8729 4486 3854 7921 4317 2323 7453 9267
"7957" 496 404 1229 629 471 592 630 595 828 727 753 522 585 635 483 870 447 981 673 663
"29924" 4944 6510 15900 6835 13575 5252 8618 8793 7881 7969 3566 7996 10583 4128 10600 7985 10811 3889 5168 5351
"22905" 3358 1579 17614 4533 2667 3509 3948 4089 4271 4880 3104 3798 7861 4331 5581 7551 6526 3882 3207 4975
"55040" 1025 124 4627 8477 2035 4178 1590 1162 1766 4390 1780 2618 3383 1916 4660 8304 5469 9682 2289 5385
"2057" 87 380 627 1308 120 379 385 389 650 457 234 736 653 352 662 454 616 373 234 398
"2056" 44 4 4 0 18 8 964 12 12 69 0 2 3 6 57 42 4 260 263 80
"83481" 12458 4199 4294 3568 3081 4893 3708 1763 3281 3588 1345 2962 10034 2528 27526 6849 6305 1098 2588 7047
"2058" 11678 16488 31324 43212 13581 23515 15033 18514 19894 19855 17362 13604 22517 26009 19218 53751 14429 127594 48052 42621
"58513" 3896 5789 5994 17134 4084 7351 4347 3462 4093 3707 3511 7588 7708 4111 9773 6109 5707 13146 4985 2496
"2060" 3965 6560 9163 5882 9874 11678 6839 12288 10000 6767 9525 10405 7831 8051 7968 10190 5196 18330 9783 7190
"54869" 2078 1523 3254 426 3291 1688 492 3980 3520 2986 711 2157 4845 2743 5546 1439 3910 884 787 2094
"64787" 5898 4868 1661 4536 6461 5174 2846 4943 5099 6306 3288 3400 4853 5872 7696 4814 4887 7299 5073 6614
"79574" 1 1 2 3 3 1 1 0 3 0 2 1 0 1 3 0 18 0 0 0
"2059" 4089 7839 15956 2527 5048 10582 4777 7213 4528 3390 6544 5557 10810 4225 3538 6930 4488 7144 11751 9385
"94240" 1511 496 932 2759 3856 5085 2681 1547 960 1654 2046 590 1040 1102 4042 1523 715 336 1204 743
"85465" 3140 10063 7698 7941 4697 12802 2494 4608 3856 5046 6520 9455 8738 6710 6622 9530 7762 22706 10183 7880
"8288" 3 14 14 13 7 25 9 4 7 12 20 14 71 8 33 11 36 69 26 6
"1833" 482 4 32 530 73 23 835 8412 1996 1879 4 43 53 2321 38 726 103 92 14 370
"26284" 6678 2249 6496 4317 4554 3812 3270 3587 4122 6175 6324 4710 6127 3962 6526 15807 6115 8979 3947 4722
"51752" 4680 4265 10536 11407 8747 17142 6088 9603 6604 4099 9821 6036 5439 18766 23624 11860 4660 7874 10052 13933
"64167" 202 214 3634 838 732 19548 10182 9289 7225 8360 10826 3790 480 1370 29414 6191 1825 6870 2144 6161
"3266" 3 13 13 13 8 0 0 0 2 4 4 8 10 0 8 2 4 2 2 4
"55914" 7825 6917 17376 9785 5769 17654 7960 11632 14651 11169 11632 10370 9868 14905 13270 28800 10600 29129 10625 31714
"2064" 35815 6997 18784 16447 11847 19101 15758 19292 40281 28233 26069 35051 60707 17228 28309 74494 53514 52204 8734 25132
"2065" 16320 12406 22379 24989 4911 26255 13189 20498 28037 46007 23732 38506 41942 23818 43885 71383 55795 92973 28909 73866
"2066" 1192 82 578 1050 12 3702 2059 427 7963 2371 2831 12159 521 2146 6986 24743 7226 10094 4965 6948
"23085" 5975 13409 29501 7622 4666 6670 4485 5988 5869 4875 4425 7206 5586 7148 4230 12168 4894 9210 13171 22234
"26059" 4 35 62 21 175 28 20 59 28 17 31 67 50 32 24 4 8 43 30 13
"2067" 1956 4389 3347 2799 4032 2610 3109 4219 6101 3405 2400 4459 3525 2382 4580 4478 3534 1503 2232 3378
"2068" 773 1081 1228 1102 2684 857 1143 2228 1976 1391 639 1719 2968 974 1842 2346 1595 1479 1062 1877
"2071" 2905 5855 5221 4790 4255 4768 2238 3608 4922 3357 5119 4163 6532 5042 7310 8756 4362 9641 3875 6004
"2072" 1171 665 1805 1335 1270 2458 1186 2018 1936 1631 1964 3417 2193 3261 5780 6144 1735 8410 2986 4702
"2073" 2481 9734 4329 6529 6580 7783 6289 7286 6451 6230 6237 5766 7444 12416 6768 8460 2901 9418 4473 5730
"54821" 753 387 1861 452 964 786 434 337 230 688 625 475 448 62 565 329 441 1124 2447 1004
"2074" 593 1294 1916 1697 1053 3116 657 1579 1452 1019 1222 1697 1530 1673 2102 2391 1323 4325 1487 2198
"1161" 505 512 1158 883 849 956 647 899 953 729 668 641 1160 790 1032 1670 614 1861 515 1475
"2069" 45 94 142 56 386 117 79 84 104 111 189 79 143 109 144 156 99 109 2542 181
"2077" 2274 6028 3847 2930 2126 2126 2342 4158 6730 3830 1222 4157 4092 2512 5704 4382 2746 1431 3482 2513
"57222" 11700 6187 58128 15995 13119 19815 26761 29985 36746 34306 24428 31715 29351 18893 53505 68149 32203 29087 11968 45439
"51290" 2639 15105 5840 3867 4029 5143 3552 5422 3656 4448 3156 3507 3017 4898 3456 6329 3245 6315 7726 7417
