"TCGA-E9-A1N6" "TCGA-E9-A1N8" "TCGA-E9-A1N9" "TCGA-E9-A1NA" "TCGA-E9-A1ND" "TCGA-E9-A1NE" "TCGA-E9-A1NF" "TCGA-E9-A1NG" "TCGA-E9-A1NH" "TCGA-E9-A1NI" "TCGA-E9-A1QZ" "TCGA-E9-A1R0" "TCGA-E9-A1R2" "TCGA-E9-A1R3" "TCGA-E9-A1R4" "TCGA-E9-A1R5" "TCGA-E9-A1R6" "TCGA-E9-A1R7" "TCGA-E9-A1RB" "TCGA-E9-A1RC"
"10057" 2024 3273 1511 11521 2385 10167 3153 5426 8891 6524 9546 4319 12093 8450 20927 20281 6965 8304 3670 9847
"653190" 4 14 24 16 14 5 14 2 46 64 33 18 19 2 553 165 6 45 220 110
"730013" 9 30 37 83 4 10 47 28 214 189 99 110 40 26 377 423 65 38 581 123
"368" 65 43 121 56 38 73 390 173 934 431 911 316 371 116 8662 4055 215 1195 1108 741
"6833" 62 19 2741 22 0 197 369 107 1517 409 67 1786 495 715 296 3584 651 302 378 390
"10060" 3150 2085 9703 3464 2551 5111 6706 6332 6118 4254 5500 5531 3992 6319 5046 7238 3172 9734 4649 8795
"215" 1423 835 1671 4988 5209 1905 3480 1145 1740 2019 862 1490 2592 1956 15454 1400 2627 2279 1355 1355
"225" 11 68 82 25 181 607 28 58 67 12 527 291 151 32 88 56 17 30 17 15
"5825" 8526 5889 7518 8040 6717 20597 4146 9079 8938 10269 14263 21705 8582 7877 9148 12001 18746 12340 17777 8745
"5826" 852 789 1841 1737 2441 2062 2175 1999 2888 2211 1483 2144 1702 2238 2087 1887 1188 1455 906 1982
"6059" 5697 6286 13981 11715 8477 11551 6298 8939 5974 5623 7164 6386 10936 6623 5409 16118 6153 16440 9542 9474
"23" 4870 9005 9483 4579 11820 6554 5156 7827 6099 3645 7685 6823 7973 7677 11596 11233 8065 12407 5185 7707
"10061" 4172 6155 5821 5663 8377 3813 4499 5599 4382 5002 5952 5695 8600 3303 4832 8727 3606 7342 8686 3932
"55324" 3625 3615 4724 7686 6336 4792 5548 4743 7536 5770 5020 5173 6710 4660 5947 6911 5247 6986 7327 6256
"9619" 983 2607 7901 7841 2893 3222 3363 5669 4069 1926 2385 3345 5708 4894 9020 6218 3738 8258 5490 5188
"9429" 113 50 1098 124 79 352 428 322 444 250 461 419 199 154 180 360 108 360 149 137
"64137" 16 0 23 13 26 7 55 19 24 11 6 14 24 17 17 12 18 6 21 8
"64240" 11 28 16 7 7 16 31 14 26 15 9 16 26 18 18 9 26 30 48 12
"64241" 0 13 4 2 14 0 23 2 2 0 0 2 7 0 24 1 0 0 46 7
"55347" 1547 1684 2936 1957 4259 3080 3044 2528 2657 3157 3548 5987 3082 3626 2775 3678 2066 6315 3320 3626
"83451" 3861 1957 15458 3224 8329 2026 4342 2795 3502 9943 3991 2719 3608 2029 5189 7886 5462 2542 2574 11963
"145447" 35 6 9 21 63 60 45 40 115 52 27 2613 7 17 13 38 6 16 581 153
"26090" 6288 3426 6207 7653 7065 5643 12681 5594 11773 16498 8000 6588 7244 11688 10441 21696 10042 7683 9775 11239
"84945" 1048 2488 1794 2035 2596 3629 1770 2810 2172 1626 2451 2731 3011 4629 2299 3400 948 4302 1741 2206
"25864" 294 124 464 543 611 531 896 647 2001 1365 949 1089 706 793 561 1441 659 907 1257 962
"84836" 1788 694 2422 3596 4148 4170 6319 3670 4903 8065 6790 11340 4680 8560 6506 9247 7305 8360 3391 6033
"116236" 1714 295 1138 2195 1289 1791 1308 1663 940 1510 3748 2142 2614 2166 4414 4743 1801 8446 984 1690
"84696" 62 146 149 162 204 184 166 129 309 278 259 246 542 166 356 363 148 272 212 427
"11057" 15098 9043 12400 56386 5498 34854 233787 21811 12355 9925 12735 72251 22883 21282 22779 53414 17904 197889 12507 13539
"171586" 5812 1364 2686 796 1207 5174 1330 1280 1814 2221 2125 1625 1781 3168 3668 1839 2219 7095 2653 3916
"63874" 2437 1140 2863 9656 3697 5627 7150 4360 6448 3561 3321 7157 5933 4550 5957 6244 2060 5766 1670 6373
"51099" 3084 1275 4954 4588 5687 3517 1899 3202 3597 3482 3892 4010 2554 3896 3550 7019 3806 4618 8988 9794
"57406" 212 82 523 366 895 511 295 748 1050 1085 1051 537 574 906 714 1064 473 1828 2486 789
"79575" 524 1837 771 1693 2971 797 879 1038 1669 1485 556 1211 1864 658 1711 1263 1763 1308 802 801
"10006" 4748 4354 10080 8796 5438 10743 4584 7752 7119 5222 5560 6019 6805 7907 8725 10454 4822 14101 8261 7915
"10152" 2957 10756 18172 4909 3071 8954 4946 7644 7095 4012 5528 5646 8842 5632 8830 11181 5318 7889 4844 6583
"25890" 552 147 2853 3001 222 11125 1367 472 1223 679 4211 3082 1866 1502 2020 1891 237 1808 164 599
"51225" 467 125 696 1029 2209 1276 1189 857 1358 611 759 636 813 724 1718 460 419 314 468 240
"25" 9093 6806 16315 6017 12347 10641 7102 8565 13142 5828 5843 9050 13270 7912 13365 11982 5512 10291 13523 9459
"27" 2503 4659 6969 5300 4754 7506 3647 5431 7350 4929 5406 4661 7230 7192 5781 14921 2777 9491 6644 12344
"3983" 11598 7973 12366 10183 15150 13684 5026 11289 5628 4514 14141 14860 8409 9838 20103 15836 9245 11116 14974 5765
"84448" 98 189 554 366 428 297 141 210 604 336 237 381 1120 273 575 127 660 215 297 146
"22885" 879 145 1096 1284 683 1457 2882 4563 3114 3249 3724 13812 2520 1548 9249 7603 13662 3151 390 1521
"28" 27 168 15 17 14 119 12 9 132 43 61 18 23 1762 31 47 14 12 418 627
"137735" 7 2 7 10 7 5 4 5 8 5 3 11 4 4 6 4 4 15 5 12
"29" 5159 2542 8018 7797 8648 7176 4675 6076 10528 6462 5774 5108 6396 9399 13241 11603 7160 9655 5647 11112
"29777" 1052 2818 2331 1587 3878 2111 1633 2074 2365 3201 1759 2215 2327 2144 3262 2643 1568 3373 1863 2546
"80325" 507 1216 1748 2016 778 1341 1516 1331 1667 1329 1290 2340 2003 980 1848 2033 2259 1652 583 635
"25841" 676 1088 1147 1242 988 835 315 772 777 248 303 194 1129 527 2035 2239 804 286 319 724
"30" 4091 1369 3626 1974 7039 4029 3405 5440 6679 7224 3983 7709 4353 3787 4869 5783 2925 2464 3609 5064
"10449" 2254 4833 5201 3834 2048 4103 2810 3552 5816 5083 7186 6710 4636 5340 4547 9356 7944 7903 8354 4366
"31" 10908 3806 29231 5981 6979 10120 10388 5964 4461 12890 38453 13010 14354 7924 14930 18904 13101 31254 15211 9949
"32" 290 596 1970 1130 803 4699 988 905 3160 638 6381 7325 3337 1742 7111 3621 1540 1453 1934 2197
"80724" 1373 1415 1657 1059 2753 1526 2488 2150 1852 3284 1809 2292 2954 2673 2869 3389 4075 5259 3913 9746
"84129" 808 1158 832 1325 1022 1701 2100 1278 2456 1327 1952 1491 1666 1463 939 2403 726 825 1691 2524
"27034" 959 949 1550 1123 3650 1620 1390 1325 2007 1392 1205 2010 2092 1711 2160 3881 2420 3102 3171 3036
"28976" 2607 3169 2601 3156 3515 3226 3001 3502 3609 4739 2933 4089 4745 3411 3636 5789 4528 5867 4666 6968
"33" 136 23 6 1 46 36 17 7 21 1 188 197 19 13 10 12 6 21 179 108
"34" 2855 3317 2957 2570 2263 5878 2856 3977 3294 3559 5103 5309 3733 1181 3736 5459 2616 3878 9863 5292
"36" 2062 2120 11832 7095 1053 9724 4535 9009 4137 11012 9367 19855 4436 10179 6032 53450 33500 47418 7743 12605
"35" 195 319 571 570 977 399 1043 1178 550 2110 1177 1545 764 896 1080 1588 2054 856 540 1450
"37" 12399 5882 8889 8711 13822 11935 10010 13438 21398 28825 13870 10557 15493 13555 18023 18046 13001 9596 9623 21540
"176" 289 109 306 159 565 75 2111 1050 1194 719 74 199 234 164 868 490 507 185 336 113
"9744" 80 107 453 221 1626 2063 399 430 360 225 1265 739 710 272 1414 296 162 128 156 124
"23527" 4190 3432 6384 5066 5062 9585 5017 6987 7496 3278 4178 5083 5136 7243 6905 9957 3675 12356 5818 8861
"116983" 1669 1147 1648 1215 2678 1777 2038 2279 2928 2479 1438 1915 5314 1789 5967 2910 2460 4667 3386 1948
"38" 2966 1202 3010 3723 3930 2864 2403 4996 7139 3970 6997 7239 3522 4891 7143 14954 8251 2511 13131 13989
"39" 2809 652 4673 1777 555 2018 1216 1854 956 3751 2298 1146 2393 2132 1923 3423 1367 4449 2529 3052
"64746" 6098 6480 9426 13241 5365 16332 6096 8589 10241 8997 9939 7706 11049 14738 7446 22774 6167 55137 12797 22710
"79777" 171 219 506 546 727 599 625 815 943 1098 1256 863 2427 1031 2554 2291 2379 1949 247 907
"91452" 2245 997 5401 8162 2827 9869 2623 3532 3560 3174 3969 4659 4584 3312 4659 8382 4579 12390 5247 4214
"84320" 2297 1868 3965 5833 3400 2949 2645 2735 4893 4663 3599 2800 4040 3953 3087 8555 2161 6681 4641 4720
"414149" 141 1137 1309 472 470 321 436 276 401 616 402 351 556 256 738 305 444 646 1231 665
"84680" 467 309 283 341 833 641 789 638 512 844 824 512 1164 919 2037 1144 745 2043 1105 1193
"65057" 1485 1582 1521 2298 1271 1396 1286 847 1206 1056 1058 1065 2013 474 1421 1088 1813 645 1075 1120
"59272" 8 22 30 18 3290 37 39 19 13 10 38 16 6 10 6 12 0 31 103 56
"125981" 1 11 58 21 44 19 2 4 4 9 3 5 12 0 16 0 6 16 0 2
"340485" 265 175 450 1159 128 801 202 733 470 270 615 1454 429 2267 633 1809 506 2077 94 712
"55331" 535 1542 2057 2580 2183 3550 1094 2980 1863 1186 4290 2050 2940 1596 2331 2200 1606 3614 2377 916
"1636" 1145 983 2068 8504 2885 1849 5104 2463 1926 1858 1841 1813 3269 2488 6208 6021 877 4462 1961 2442
"43" 30 32 149 30 418 144 30 48 38 29 55 77 490 46 91 9 60 20 15 26
"22985" 7035 7695 12149 13652 12990 14368 9188 13197 20278 15890 8493 12568 16816 12938 17826 21295 7986 20838 10552 16664
"47" 13827 7007 36515 9217 13955 17368 10536 19528 24007 18098 18186 13640 32046 14700 20956 40321 19310 65066 14984 33351
"130013" 76 1 42 26 2 102 232 9 116 225 14 3 27 11 3 36 21 29 335 57
"57001" 187 719 781 138 1176 669 533 481 484 211 457 303 836 191 281 953 81 871 1458 84
"48" 5271 1618 1998 2322 5283 3404 2478 4768 4348 2851 8045 6002 4039 5278 4646 7152 3963 4149 3847 5239
"50" 8800 3625 8885 5161 7810 7637 7535 5293 8133 8505 9603 15946 8373 6200 7305 12632 11542 15180 7493 8609
"26027" 264 242 151 377 1215 217 217 320 149 484 324 156 1027 350 396 581 516 2094 234 159
"55856" 1546 1536 3559 2402 4219 3028 2048 3020 2845 3571 4536 2891 3442 3172 3151 4026 2754 7457 3028 2485
"641371" 914 178 682 1127 1467 953 909 899 2165 1868 1542 3178 967 1348 1719 2862 1006 2030 1121 1199
"10965" 1436 429 1343 2246 2067 1652 1737 1876 3463 3413 2456 4738 1613 2054 3771 4295 1865 3015 2045 2270
"122970" 632 68 359 1879 415 554 1175 741 1667 2880 1511 3018 553 2012 1234 2809 1281 1557 724 2231
"641372" 4 0 4 54 9 17 41 4 7 63 29 44 11 13 35 35 11 4 56 9
"11332" 2006 2346 2464 3128 2304 2348 1775 1791 1112 2521 1975 2472 3565 1931 5975 970 4329 993 6863 1883
"10005" 820 1064 904 586 1598 864 1952 1191 1554 1543 1108 1074 1804 841 1831 1679 1283 995 1510 1746
"23597" 1651 1819 2258 2761 3227 1425 2656 3477 3028 1190 1711 1330 815 2181 2189 1557 907 2311 2076 1221
"51" 3358 4551 7882 12438 8116 11606 4038 8061 6780 6363 9141 7328 9785 7304 9059 12773 6116 17507 5858 7998
"8309" 548 24 377 2700 80 1112 3304 2219 12449 7767 1581 5045 879 1993 4558 3852 1466 6863 19042 7726
"8310" 2570 540 8809 888 2617 4196 1096 2723 1622 3660 1842 1791 5060 1051 2172 5158 2736 9523 1506 3016
"55289" 11 43 37 20 60 30 13 73 26 24 27 25 26 21 64 29 41 17 16 28
"52" 3373 9878 6622 9381 4727 8168 3045 6082 8318 8363 6106 6453 8550 7553 7592 12794 7013 9652 10644 8458
"53" 3147 2190 2848 5134 7935 5284 3923 6229 5345 5408 5646 5017 5057 5482 8543 4912 3825 6102 3947 2858
"54" 2513 569 1616 10127 3438 4180 8193 2054 6817 5056 6847 7535 1486 8920 9234 7982 3828 14467 5368 2923
"51205" 467 686 979 2364 1837 875 1566 1072 4177 1238 1327 1483 1792 1749 687 1980 1105 1266 1514 2594
"55" 129 50 497 111 407 213 305 124 157 92 118 190 66 129 96 57 18 1352 318 84
"84519" 41 70 104 172 144 195 113 110 116 316 99 181 186 181 253 184 85 38 52 191
"93953" 56 110 44 83 73 169 103 41 76 55 73 81 109 64 140 94 83 127 146 54
"56" 6 38 36 6 9 4 5 4 2 4 6 6 10 4 28 0 2 10 21 16
"49" 13 153 46 18 10 21 78 10 30 10 15 17 33 26 52 10 27 47 27 9
"23205" 12 2 18 12 15 26 34 37 35 46 37 43 40 19 31 19 13 34 23 19
"81616" 5 15 19 7 11 11 10 8 19 12 17 13 34 5 23 17 9 21 7 13
"80221" 816 432 3722 5569 5677 2736 1057 4302 5552 4360 3152 7620 4721 2326 6156 8453 2600 3054 2223 3172
"197322" 1167 774 1357 1493 1645 998 1310 988 1372 1455 761 1082 1561 935 1626 1281 986 1402 876 1538
"2180" 12216 1560 7042 7841 19297 6369 7212 5448 3998 2190 17267 15310 10922 5366 5234 5455 9334 13778 11937 3420
"2181" 11849 6408 15613 8710 12358 21418 8940 14387 16815 9622 15193 23306 14645 15777 13706 24668 9653 18369 10994 10012
"2182" 2751 1674 2803 2800 9699 7012 4279 7610 3609 1985 4286 2587 3251 4670 3894 3125 1025 1691 5083 1752
"51703" 415 393 2013 670 6457 4259 1831 950 1232 1714 2920 1607 1142 3590 2528 676 560 684 2225 3254
"23305" 27 35 191 107 66 313 30 120 63 68 129 31 65 120 150 434 47 473 22 877
"116285" 43 36 70 53 16 42 122 170 179 133 54 880 134 223 162 234 310 144 174 212
"123876" 10 24 25 39 29 45 33 31 51 31 46 80 41 26 56 45 37 46 31 60
"6296" 72 674 201 113 230 273 153 232 153 102 213 317 370 87 910 274 209 420 228 95
"341392" 4 51 19 5 5 11 8 19 6 3 1 5 6 4 4 4 25 10 32 28
"54988" 98 8 114 241 34 188 81 84 202 48 407 429 397 91 232 123 63 67 37 48
"84532" 814 7625 4029 3394 2170 3875 4083 2468 6106 4470 4155 4811 3876 2465 8145 15924 2852 16803 401 1238
"55902" 3054 1801 2019 2145 3706 3568 2146 2414 2132 5078 7258 4782 6505 3150 4394 4185 7305 3850 3095 2928
"79611" 623 444 423 1025 95 932 2234 569 636 793 2415 6701 2019 3015 4677 5494 1791 4047 2095 1132
"58" 56 78 61 50 36 23 291 32 90 142 24 210 50 128 178 53 67 28 534 357
"59" 26822 3982 24834 26013 8757 19416 108791 98219 81679 30124 29718 22954 18059 28454 30577 44574 25213 11131 32257 18543
"345651" 42 10 14 53 61 4 6 29 16 0 13 8 8 151 18 6 2 0 38 20
"60" 518200 169717 277066 401761 575185 337199 498820 703811 651169 429545 311755 282078 263834 466101 532305 477369 290764 270160 488897 356031
"70" 13 2 12 19 9 7 2 42 45 9 7 10 11 2 11 3 19 13 18 3
"71" 212049 177457 316603 506264 263829 235743 331395 385458 408267 408272 248333 242728 413553 181878 181509 541040 368885 229260 315132 247081
"72" 755 677 806 135 128 649 823 1489 1866 911 4222 2046 450 2287 214 585 536 143 380 1735
"86" 4162 7006 6855 5537 4440 5564 4676 5155 8516 5883 4668 4958 6066 5607 4899 6689 3628 11090 11762 8106
"81569" 99 50 257 23 44 10 91 3 3 171 0 0 0 6 16 8 11 7 40 60
"87" 28543 18566 18031 37810 39414 20487 51751 59247 40945 23744 14533 34705 19157 39363 37619 38666 18114 15587 30851 27692
"88" 30 323 17 56 131 175 22 16 5 75 2 8 427 4 13 5709 3 1798 69 92
"89" 2 7 19 15 12 15 19 19 3 5 9 10 13 18 7 13 2 0 1 2
"81" 26622 41477 32422 32004 37406 31671 35250 55424 52679 38932 20680 38158 39968 29792 55177 43376 41169 38669 28559 36405
"55860" 2369 2003 4673 5780 5149 6419 6575 6954 6610 5945 5734 6010 3708 7121 8557 8113 4189 10002 3909 6794
"10121" 9009 7133 17088 9270 14155 8387 12591 13903 16128 11140 10206 13938 7315 9450 14513 14531 11027 13918 10518 6698
"10120" 2295 2531 2709 4946 4510 3838 2722 4931 6932 4018 2946 4580 6043 4328 8359 7093 3800 6689 2539 5258
"10097" 25984 18552 38058 25953 39858 51920 26861 46479 43413 24935 27187 27140 28364 44650 46903 48743 17056 78958 34026 34650
"57180" 394 3099 2344 749 537 628 420 391 535 846 744 814 1724 415 507 1359 627 1579 1742 851
"653857" 113 264 213 93 220 226 176 127 82 256 320 163 295 137 197 278 106 230 265 139
"10096" 20800 13430 18914 17229 29770 35124 20603 26898 26465 12094 15689 13211 15459 26365 25874 29033 10776 23836 22214 19092
"79913" 557 635 1327 965 1211 1231 944 746 1338 1925 1070 1041 1584 1242 1206 2370 1786 1466 1103 1479
"64431" 1963 2046 2281 1943 2593 3952 1739 2640 2196 3728 3612 2980 3385 3452 2982 4588 3420 4685 5153 4984
"93973" 1449 888 1936 1369 1951 2178 1480 2738 2571 2094 1759 2577 1611 2767 2574 3407 2426 3163 2241 2245
"91" 2455 5996 8247 4735 2926 5233 3520 3859 4837 6209 4465 6504 8861 5148 9076 5648 8340 11715 6817 6605
"130399" 38 44 44 46 80 191 64 85 84 26 1526 1052 203 34 186 179 101 336 19 65
"90" 3573 2632 3532 4224 4595 4818 6205 8217 7782 4116 3941 5039 3815 6916 4764 9590 2082 7329 2980 5398
"92" 702 1725 1123 1187 1153 2585 2855 2693 1459 1061 1556 1235 1237 1079 1694 1483 728 2133 588 1187
"93" 508 2311 2848 1060 1088 2438 675 742 1780 1358 1071 2951 2744 1473 1959 2440 2183 2131 3109 2789
"94" 1142 475 1858 1826 1934 2536 3382 3287 3027 1661 2373 2927 2020 1850 2009 2067 1410 1380 926 1316
"95" 952 1162 1520 1532 2562 1433 2376 2210 3617 4194 2048 3745 2658 1895 3306 6331 4028 1807 3051 3512
"91703" 4 12 17 5 234 38 30 31 74 4 39 23 19 12 123 4 2 2 2 5
"97" 107 307 396 249 272 241 441 208 207 581 218 539 319 434 467 302 424 379 693 423
"98" 309 538 785 615 716 754 636 381 603 456 533 846 749 655 771 276 488 696 864 173
"161931" 4 3 14 4 10 6 4 25 9 7 12 8 3 2 2 3 0 1 3 0
"161823" 303 298 458 432 438 873 812 743 1115 807 983 1383 1059 1454 984 1756 1498 1867 693 1216
"102" 4874 4943 7006 13349 6479 8792 7097 14323 10071 6071 7526 12222 5447 16018 6002 19574 5022 27271 6922 15400
"4185" 22 107 126 21 25 31 67 28 50 52 33 18 228 12 88 61 54 71 23 35
"8038" 13711 1458 9252 14668 5001 12299 25959 19482 22556 15311 4469 7180 12418 26719 9078 31048 3496 5659 6147 18321
"8751" 13813 2361 7892 35990 20401 9831 17288 12578 20586 22387 15168 10033 16845 14684 15157 24764 7766 13935 34377 30646
"6868" 2123 4894 4268 4100 7747 5049 2071 4751 3688 2536 2877 2891 4469 4113 4556 7128 2148 6419 3597 3510
"8728" 3147 450 1295 2493 5083 2691 2506 3756 3789 2327 1717 1605 1913 4607 3710 4103 1115 722 2470 3423
"8748" 0 2 2 8 8 2 12 2 10 6 7 5 4 10 8 4 11 8 0 15
"145241" 12 9 2 1 2 4 1 0 3 11 4 11 2 5 6 12 0 36 20 6
"8747" 6 42 14 7 8 17 24 23 20 57 30 27 14 24 11 39 8 147 81 26
"53616" 88 230 1247 551 57 624 54 236 832 111 215 316 325 166 253 469 229 859 311 630
"8745" 170 29 207 173 85 253 248 266 303 202 156 165 466 316 119 239 109 302 93 179
"10863" 230 261 344 456 963 1366 432 1252 496 160 803 389 327 1188 1599 312 206 259 255 194
"11086" 20 3 0 6 2 2 0 0 957 0 77 3212 16 40 2 4 0 4 2 3
"203102" 65 136 222 439 120 153 44 91 42 13 83 103 1436 55 251 199 18 57 508 197
"80332" 148 49 302 183 190 367 747 195 369 456 675 674 516 262 205 722 177 216 171 142
"1587" 52 57 95 38 45 72 66 48 80 75 63 50 73 47 84 63 86 85 105 110
"8755" 6153 5693 98039 60257 615771 360839 26279 12881 107797 47828 129106 307492 32580 26733 94024 45461 9981 69134 12811 21707
"101" 715 1185 393 3519 4884 2973 1225 4604 2024 1414 1059 549 681 4598 6965 2434 957 1966 1823 1368
"8754" 12414 2263 5883 6707 8059 9832 6683 18443 10452 3770 10635 9387 73284 13991 14839 5689 12092 35693 35536 22493
"27299" 279 246 111 298 2517 1447 371 68 246 221 931 284 246 2561 1593 50 5 54 937 50
"81794" 286 98 455 709 201 545 835 693 1199 385 398 469 1164 543 580 1816 250 428 117 545
"81792" 2934 369 2883 4116 971 1980 6640 4981 5316 1989 645 1414 1457 4883 2485 5009 904 1849 1355 2733
"11093" 175 408 319 168 179 244 230 155 350 380 220 387 1368 279 774 1143 423 568 267 568
"140766" 1392 142 206 1014 700 211 1820 1853 1684 1362 134 286 770 1109 487 2084 409 224 412 1738
"170689" 457 122 2544 58 370 1513 359 417 2292 2085 917 6180 310 856 8493 817 3084 5544 1804 1552
"170690" 636 1388 402 1225 3 204 5231 1551 4037 833 136 378 718 359 625 4008 671 373 165 553
