"TCGA-A1-A0SB" "TCGA-A1-A0SD" "TCGA-A1-A0SE" "TCGA-A1-A0SF" "TCGA-A1-A0SG" "TCGA-A1-A0SH"
"52" 4773 7180 9462 5183 5796 7633
"53" 2075 5643 6381 2882 4255 7582
"54" 198 4028 4579 1989 2500 5055
"51205" 701 1583 1973 1138 934 1037
"55" 31 135 107 58 35 194
"84519" 39 92 166 79 86 105
"93953" 45 69 48 58 13 33
"56" 19 1 1 4 2 0
"49" 70 29 15 22 30 10
"23205" 24 28 35 15 15 37
"81616" 15 12 29 18 9 16
"80221" 1441 3633 7432 4394 7737 4657
"197322" 1187 985 1673 907 1401 1481
"2180" 2718 9799 4913 8356 1899 10888
"2181" 22482 57581 37634 12167 12470 45341
"2182" 3717 4292 3953 1944 1863 6854
"51703" 2034 1775 1578 996 1009 851
"23305" 8 116 332 44 106 329
"116285" 50 108 1075 272 1085 73
"123876" 24 48 32 18 29 38
"6296" 800 202 446 225 280 221
"341392" 5 2 4 4 1 7
"54988" 44 103 242 61 190 170
"84532" 2878 6040 4112 7247 2385 1714
"55902" 2692 3892 5727 3158 3322 5334
"79611" 1246 1663 1647 180 1795 1189
"58" 17 738 73 40 47 56
"59" 103597 53273 65845 31346 17992 71539
"345651" 45 4 20 0 2 30
"60" 292717 338326 556783 380049 313120 796746
"70" 510 41 9 1 1 15
"71" 300247 305798 446437 277623 200817 446142
"72" 18807 11549 2858 2006 609 2792
"86" 3950 4695 8425 4251 3823 8918
"81569" 0 4 4 8 12 0
"87" 31332 41197 57149 20438 18828 64285
"88" 8 15 72 13 12 35
"89" 1 2 15 9 1 10
"81" 61080 49991 71808 32910 39898 59381
"55860" 3367 6267 6112 3649 4381 6372
"10121" 6562 11753 18228 9666 10690 21952
"10120" 3934 4837 6789 3288 4915 6797
"10097" 14467 34936 40994 17098 27559 50755
"57180" 2716 808 1381 881 502 875
"653857" 142 194 213 155 194 308
"10096" 9954 18528 20521 10743 10922 25326
"79913" 542 1080 1164 859 743 1024
"64431" 1918 2969 3612 1200 1872 1946
"93973" 2294 2038 4321 1014 1622 2159
"91" 5655 5443 9869 5782 3532 5789
"130399" 12 325 43 128 65 24
"90" 3904 5019 6444 2512 2895 8980
"92" 4490 2105 2311 1617 870 4007
"93" 1579 2069 3034 972 998 1753
"94" 674 2302 2781 1340 1226 2440
"95" 2133 3043 5768 2186 4854 2360
"91703" 29 34 29 15 14 16
"97" 199 157 435 244 133 157
"98" 589 365 606 413 334 423
"161931" 18 7 23 5 4 13
"161823" 733 913 1084 363 1231 969
"102" 5532 24758 10734 4067 5644 29867
"4185" 96 24 54 16 6 29
"8038" 636 9367 22412 4400 8660 96307
"8751" 4924 12572 36556 10426 9171 14130
"6868" 2828 4288 4778 2071 2878 5234
"8728" 67 2250 1986 614 1414 4847
"8748" 2 10 12 6 2 0
"145241" 0 2 17 6 12 4
"8747" 31 59 102 38 69 17
"53616" 195 349 456 415 245 433
"8745" 72 242 342 102 322 598
"10863" 238 386 430 245 463 593
"11086" 3 2 9 4 21 2
"203102" 485 73 380 74 53 233
"80332" 87 373 638 457 359 1151
"1587" 50 87 94 36 41 53
"8755" 4106 159490 219874 295604 30948 119050
"101" 81 703 409 675 851 671
"8754" 4554 11441 21186 5896 14171 37555
"27299" 9 359 99 145 227 161
"81794" 371 544 583 219 263 1430
"81792" 260 1815 4579 410 1609 9221
"11093" 356 308 572 299 487 351
"140766" 21 444 814 31 719 1680
"170689" 51 399 4081 626 3817 587
"170690" 1364 1154 1929 107 1135 6230
"170691" 5862 637 648 946 400 1083
"170692" 406 281 157 80 57 671
"171019" 144 143 175 7 323 8
"9510" 4769 7240 3525 3932 1807 4788
"80070" 0 53 39 0 2 159
"9509" 941 1972 4817 1272 2699 17986
"9508" 450 209 283 124 119 381
"9507" 536 3596 3376 803 1702 5686
"11096" 752 2099 2946 579 444 6660
"11174" 26 605 459 77 238 1357
"11173" 1463 883 949 239 675 2502
"11095" 27 145 202 128 392 164
"56999" 7253 2132 1885 828 894 1300
"92949" 453 1480 869 209 441 1018
"9719" 224 968 1394 426 637 4951
"57188" 2820 3423 1764 890 1296 2380
"54507" 862 1207 1413 424 572 716
"339366" 18 124 882 209 1075 551
"11033" 102 238 895 199 1111 343
"55803" 217 1377 781 438 629 1790
"104" 2212 3050 2755 1721 1730 6028
"105" 117 54 34 6 11 9
"103" 22057 88755 83746 25434 30523 55143
"23536" 1521 1293 1656 572 1049 1851
"134637" 685 490 406 257 250 320
"113179" 142 53 432 233 223 287
"100" 67 451 1110 252 346 662
"57143" 594 646 867 692 419 1366
"90956" 1990 3673 6992 3255 3757 7315
"79934" 1933 1980 4394 2620 1838 2695
"203054" 267 411 729 621 1063 764
"55811" 29 73 93 65 29 29
"107" 411 1862 16878 6762 11656 1011
"108" 305 699 655 870 4911 639
"109" 2623 3192 7041 2158 1487 3966
"196883" 210 1196 1035 415 439 511
"111" 345 2205 5184 1452 495 508
"112" 5538 9519 9945 3237 8294 10517
"113" 1686 1894 2520 956 1442 9639
"114" 2 3 1 0 2 1
"115" 1570 4082 9991 4992 8819 4693
"117" 5 52 76 9 12 40
"116" 20 2 421 138 165 57
"118" 17584 28153 37962 14925 16977 38215
"119" 435 263 198 61 77 123
"120" 7764 5175 17810 3082 2829 13787
"124" 9 57 23 61 15 0
"125" 673 5339 669 3728 828 22
"126" 67 40 159 132 18 24
"127" 19 18 25 18 18 5
"128" 10249 9332 15068 7593 7697 11324
"130" 4 2 20 11 13 5
"137872" 205 247 465 257 1018 231
"55256" 4596 2938 6662 3840 2992 9161
"9370" 604 7185 180 3887 1319 71
"51094" 5119 16082 29517 9585 9872 21354
"79602" 7340 78029 23059 6355 7520 16260
"132" 2175 4295 3503 2172 3112 4319
"79924" 690 850 2004 966 781 671
"133" 190 466 304 195 150 292
"22850" 2678 2697 6046 2361 1939 4910
"23394" 16443 18877 27397 12464 12434 17871
"134" 880 734 14805 1581 2791 707
"135" 205 5339 2165 3122 337 1083
"136" 718 302 240 100 154 180
"140" 170 523 592 479 732 1262
"84890" 2525 4456 4105 2571 2026 4506
"83440" 2465 4253 5585 2477 2487 5076
"113622" 395 365 1208 460 557 592
"54936" 1776 1888 4427 2957 3255 3403
"141" 937 1237 1471 665 704 1525
"148" 167 156 193 83 126 160
"147" 12 39 58 124 176 32
"146" 21 87 14 4 9 12
"150" 69 2940 2739 2388 1483 15666
"151" 22 95 141 119 56 31
"152" 446 287 803 489 61 72
"153" 16 16 17 7 10 31
"154" 208 140 210 243 88 243
"155" 0 2 2 14 2 2
"156" 5905 8848 11845 5102 5773 9189
"157" 2101 1909 5467 2455 1954 5381
"11047" 3810 4682 6653 4098 5732 6218
"158" 3914 2230 5386 2722 2437 4705
"122622" 312 327 743 419 675 686
"159" 5299 8160 13579 6620 9169 9776
"165" 15722 77183 84558 29551 90357 400385
"121536" 3535 3091 4192 1868 2068 3156
"64782" 2338 2133 3008 2470 2009 2496
"166" 22809 17100 52610 37074 25114 34801
"134265" 338 1678 1441 598 726 1228
"84632" 824 10142 5824 1477 785 5849
"60312" 12855 9658 11307 3710 5489 12548
"4299" 5982 9851 16783 7161 7030 13510
"2334" 1591 179 283 163 99 304
"3899" 1274 28061 26811 5658 16982 25363
"27125" 16329 23895 25992 8433 13725 22880
"10939" 5067 4214 9682 4200 4964 8339
"125061" 3281 3012 3862 1503 1697 3992
"174" 2 599 21 16 1 80
"54812" 3697 11551 15146 6264 8503 10265
"119385" 204 185 303 131 192 249
"116987" 1686 2942 4461 1295 4557 2370
"116986" 122 255 556 408 465 622
"116988" 5581 4705 6878 3217 4742 5841
"119016" 461 488 380 302 283 262
"729092" 553 495 425 272 318 387
"414189" 459 581 387 362 279 327
"175" 1708 2596 4854 2555 3164 5271
"79841" 46 165 181 66 143 142
"340351" 42 42 61 7 17 58
"84871" 94 76 215 119 87 95
"60509" 3374 1940 4068 2551 2407 3296
"177" 125 110 196 59 71 94
"3267" 5215 8037 8570 3371 5783 9446
"3268" 759 1485 2296 1007 1356 1107
"55109" 3032 5026 6212 2696 3678 6416
"55750" 2725 2625 3405 1930 1940 2890
"178" 4055 15099 12713 5899 2999 10627
"79814" 126 131 272 174 150 77
"10554" 4561 7505 14320 4834 6266 11248
"10555" 1245 4050 4123 2483 3050 4112
"56894" 5065 10615 15631 4832 5621 16415
"56895" 1221 878 843 294 494 1991
"55326" 2517 3860 4501 3441 1349 3812
"137964" 5298 9000 13710 2772 10797 13900
"84803" 98 479 452 219 154 249
"8540" 2871 5255 2981 1249 1410 6055
"10551" 190 44639 26423 82607 15772 12400
"155465" 20 31450 11940 26106 5068 5460
"375790" 29504 17957 52420 23668 37571 24957
"181" 1 5 7 3 0 2
"23287" 1082 1176 1131 791 863 1570
"185" 38 2869 772 160 119 756
"57085" 1173 2567 6347 4222 5030 3213
"183" 31 352 8371 303 267 572
"64902" 2 146 2 0 2 19
