"TCGA-A1-A0SB" "TCGA-A1-A0SD" "TCGA-A1-A0SE" "TCGA-A1-A0SF" "TCGA-A1-A0SG" "TCGA-A1-A0SH"
"374877" 27 49 54 60 35 13
"126526" 1392 1059 2420 1428 2553 2209
"84798" 4039 2140 5912 5990 1870 3371
"90580" 483 631 1536 896 920 1272
"28974" 2245 3358 7745 5267 4184 6775
"284325" 1051 1035 2233 1623 1607 1346
"79173" 280 81 301 282 254 181
"55049" 701 732 1693 1090 804 1269
"55337" 1009 1903 2154 1562 1290 2222
"125988" 1619 1401 4689 2602 2113 3278
"100128569" 89 28 199 42 51 103
"55150" 72 35 103 87 68 92
"10438" 948 1658 1741 993 1064 1920
"29071" 1489 4435 4741 2258 3494 7436
"56913" 1894 790 958 147 1177 833
"712" 1022 3668 3106 3876 2800 5773
"708" 5575 5064 7359 5702 7357 5176
"713" 1149 4989 3237 3826 2519 7521
"714" 1243 4679 3544 3085 3047 7873
"10882" 55 95 191 59 12 60
"165257" 8 4 23 2 48 28
"389941" 25 110 138 45 80 85
"338761" 32 8 30 12 5 16
"114897" 984 2373 2626 1174 1231 10944
"114898" 55 174 188 52 84 260
"114899" 368 2866 4265 833 1185 22764
"114900" 189 17 91 21 13 145
"114904" 727 5108 8867 2408 3760 25071
"114905" 45 333 349 51 353 1100
"387911" 33 47 51 49 37 30
"338872" 283 319 372 121 246 642
"51279" 4315 5411 9429 3170 4836 6878
"715" 16261 31386 35449 22205 18785 67991
"716" 10162 35929 37954 28012 25500 100867
"257044" 49 111 54 36 93 60
"92346" 48 6 4 0 1 4
"55765" 1283 830 573 375 463 544
"54955" 1487 1112 2080 1397 1433 1585
"284680" 21 21 85 51 14 9
"55732" 672 867 3458 1027 832 948
"79762" 2946 2609 7763 924 665 5429
"79098" 7436 1465 9927 1166 309 9049
"127687" 682 1233 5157 2802 3222 4099
"54987" 1312 1948 2832 2864 2140 3593
"148345" 0 8 7 83 7 16
"128061" 594 917 2009 925 445 1255
"400757" 37 38 53 15 29 33
"93190" 1 1 4 30 33 2
"54991" 584 408 925 625 705 604
"128346" 204 693 783 849 883 632
"199920" 11 831 483 1442 70 966
"339448" 1269 1438 2720 1382 1432 2159
"163747" 1 1 8 5 12 6
"440712" 37 94 190 183 270 275
"388701" 2 4 26 19 12 4
"127003" 7 17 25 87 138 9
"84886" 9479 6580 18112 6390 7110 11968
"284677" 230 232 299 275 231 279
"149466" 678 835 3232 1324 1503 1559
"127703" 889 1778 3027 1725 1658 4757
"81563" 1894 10199 20221 17842 10370 26319
"400798" 60 109 126 56 54 55
"400793" 2373 2978 25139 7902 2065 2750
"339541" 28 39 110 89 44 52
"388759" 150 202 285 207 169 272
"54953" 1777 4900 7029 3089 2906 7885
"79169" 591 932 2447 1046 871 1150
"25912" 9962 34859 52855 16053 16878 16642
"79078" 476 457 981 735 593 779
"148423" 839 1186 1240 543 889 1262
"388722" 44 21 59 61 53 54
"79630" 69 672 532 436 428 452
"54964" 524 1905 2392 1339 1090 1026
"10485" 66 96 125 55 48 75
"149563" 0 1055 6370 8841 4995 1966
"148304" 667 358 1118 388 292 599
"199990" 1208 1106 3871 1685 1464 1974
"127795" 5 4 3 3 2 6
"375057" 185 320 86 50 21 49
"128653" 0 0 13 2 1 569
"25943" 2629 2682 2789 1042 1636 3452
"79025" 2 38 74 23 61 21
"149840" 252 167 305 318 206 226
"284756" 28 23 10 5 14 29
"400831" 8 25 32 4 10 17
"284805" 59 58 75 19 31 31
"55969" 2039 6485 6476 4880 4661 6087
"54976" 1340 2968 3297 1592 1331 1996
"128602" 2 12 56 543 565 0
"140680" 1264 1325 2301 1754 1602 1124
"755" 1180 973 2178 1265 1322 2616
"8209" 4447 6607 11379 6959 7230 9343
"54058" 320 359 476 304 359 353
"56683" 2055 3452 5765 4176 4739 4064
"56245" 446 493 646 369 471 534
"54149" 5996 2021 1733 737 1346 1944
"150248" 11 3 4 36 6 2
"84645" 1281 232 473 133 155 302
"25775" 18 2 0 1 15 2
"79680" 4479 2219 7135 3128 2524 3966
"25770" 11 1 7 19 2 25
"348645" 14 27 45 17 14 18
"128977" 1724 1467 3045 1645 1562 3893
"79640" 2602 1426 3700 1242 2002 3400
"9854" 1025 1582 1481 1669 3016 1666
"25966" 1673 4712 3254 2207 3700 2673
"26005" 2616 5149 5700 2292 2864 5017
"145741" 32 33 783 29 55 2020
"388125" 0 55 36 16 12 29
"126567" 17 94 32 38 12 33
"100191040" 176 148 163 103 62 55
"150590" 328 606 1105 481 532 1038
"84226" 303 348 218 170 297 375
"29798" 60 495 342 181 161 172
"408029" 28 137 243 86 79 109
"84417" 9244 306 1792 668 37 492
"54980" 885 909 1248 568 655 1318
"60526" 717 1914 1659 633 637 2598
"80304" 1067 863 1561 408 626 1210
"79568" 994 1524 1828 1117 1288 1727
"348738" 33 45 38 12 9 3
"79074" 516 636 718 397 377 716
"130813" 84 95 125 159 1369 77
"79919" 27 36 271 1537 1675 629
"285051" 23 19 13 15 20 22
"401027" 12 3 2 0 11 7
"388969" 3369 4543 5679 2543 3417 4912
"205327" 1268 2832 3044 1338 1294 3407
"339778" 149 6 33 25 17 6
"388939" 22 2 20 7 2 4
"257407" 132 1021 2444 209 3609 1618
"129852" 3 16 67 19 12 10
"339804" 622 988 1534 506 1935 583
"130355" 222 741 666 505 506 669
"388963" 384 420 1008 563 424 543
"389084" 72 9 950 20 7 15
"56918" 69 99 103 66 59 106
"84281" 5808 229 717 213 148 221
"717" 245 2697 1703 1952 1014 2137
"719" 511 1297 755 669 768 3296
"57415" 687 1917 3632 851 2736 1607
"25871" 3891 4005 4572 2780 2318 4843
"51161" 487 943 2330 439 1047 1005
"84077" 12 2 4 2 6 7
"285315" 568 754 720 239 514 946
"339883" 63 49 51 29 25 33
"80111" 2 88 71 16 14 54
"285237" 1255 2357 2911 1106 1444 2683
"132200" 12 7 18 8 6 12
"79669" 119 1790 1786 1615 626 1377
"205428" 8260 1419 2996 1209 636 2634
"375341" 636 918 1026 381 603 656
"200844" 142 431 549 180 304 107
"285382" 399 488 1469 148 1581 707
"718" 7168 37536 35001 32028 36569 113686
"720" 1673 173662 144775 95796 31969 303345
"722" 12 71 171 14 6 22
"725" 46 551 120 34 92 96
"55286" 1616 550 564 117 1040 198
"255119" 3 4 6 16 7 7
"152816" 20 10 3 6 24 106
"54969" 1174 1578 2127 792 1142 1573
"80167" 398 699 728 334 406 668
"132720" 830 4410 4247 1776 4006 4372
"132321" 508 1043 1097 516 535 1160
"132989" 55 105 285 96 130 171
"401152" 7883 12923 14278 6593 13728 19070
"201725" 918 788 1519 889 443 1553
"441054" 28 10 94 70 84 42
"401115" 36 158 127 25 226 202
"389197" 5 6 0 45 4 0
"728" 158 851 621 183 568 1328
"56951" 5405 12521 10859 4571 5916 13298
"55322" 1894 3362 4270 1685 1966 3203
"134553" 6096 7310 8308 3334 3452 7966
"64417" 1430 1823 1967 1067 1560 1712
"90355" 1029 11910 4271 3138 8456 7256
"375444" 507 226 408 138 190 297
"153571" 176 185 1115 222 2549 328
"65250" 3341 2960 4521 1359 1911 3782
"51149" 1190 4228 4180 1817 3002 4035
"389336" 1232 589 116 20 116 344
"134121" 21 123 169 240 594 102
"285636" 3453 5181 7327 2899 3653 6460
"441108" 147 347 265 217 136 281
"133874" 3 16 5 24 12 7
"285679" 11 8 6 4 10 8
"727" 532 738 2174 773 632 1110
"64771" 8373 12547 21282 7168 9770 18608
"168090" 0 2 5 13 20 0
"387263" 2348 5402 4294 3022 2743 6158
"647024" 717 1227 1952 1059 1141 1694
"221545" 448 890 1012 483 458 721
"135398" 179 153 713 136 721 65
"29113" 76 32 4 12 6 111
"206412" 75 39 56 36 35 58
"63914" 102 78 53 55 47 63
"154313" 227 200 246 191 469 278
"154386" 55 2 19 2 2 5
"221491" 307 1565 2209 956 1658 2056
"404220" 12 92 36 15 30 40
"51250" 751 1155 1043 916 777 946
"79624" 986 8935 9093 4138 6401 5828
"389384" 0 0 0 6 2 4
"221416" 8 5 32 8 3 1
"441150" 165 186 350 195 392 402
"80739" 9 15 13 8 10 37
"57827" 1913 3098 5362 2068 2968 5133
"50854" 12790 4694 8489 5908 3585 5526
"347744" 21 98 230 73 26 114
"135154" 293 362 365 367 238 522
"81688" 9988 16624 20004 11796 10218 19354
"221477" 9764 14444 17168 7123 10538 22175
"729" 46 324 56 211 103 4
"129790" 1040 584 684 684 553 629
"79020" 1264 2109 2638 1767 1415 2385
"79034" 1776 1756 2702 1960 1506 2900
"136895" 484 375 516 220 128 860
"55262" 896 1281 1292 1004 965 1408
"78996" 1777 2538 3740 1693 1918 4424
"84310" 1987 4020 7786 5127 3533 6363
"154791" 410 297 471 448 600 500
"136288" 7 10 19 2 20 6
"154743" 1654 1386 1682 725 693 2450
"402573" 27 9 14 11 7 5
"401335" 17 17 32 14 21 16
"730" 1591 3385 2075 6351 1938 168
"732" 0 0 9 0 0 94
"733" 7 12 34 7 13 15
"286122" 31 71 77 44 37 89
"65265" 3496 7009 7715 3905 8130 8268
"116328" 14 40 47 13 22 17
"157657" 319 296 778 270 415 588
"56260" 234 243 358 157 393 285
"254778" 58 36 75 68 192 25
"157773" 64 289 271 34 40 302
"56892" 195 26160 10627 1580 998 35886
"541565" 1110 836 1580 674 422 1409
"401466" 1761 3017 3810 2075 2789 2575
"84933" 712 1889 1774 1145 1219 2278
"389649" 53 73 56 51 54 41
"414318" 2 12 20 7 18 1
"51490" 1489 1680 3460 2319 2674 2750
"138162" 89 338 1836 1218 965 561
"286207" 76 97 271 155 280 98
"445577" 116 156 228 81 100 168
"138724" 16 4 5 7 8 4
"138255" 0 2 8 13 6 2
"401563" 28 48 61 40 55 43
"286257" 859 1345 2580 1236 1750 1407
"401546" 1504 1237 2239 1505 2406 7624
"389766" 6 1 4 0 2 2
"51531" 743 1190 1294 660 764 1101
"158055" 43 61 108 27 56 97
"79095" 3187 1461 4102 2116 1945 4019
"401535" 25 11 5 0 3 45
"389799" 7 6 10 17 53 7
"389813" 22 122 249 135 247 69
"441476" 4 7 25 15 35 3
"84688" 22 18 24 21 18 12
"84909" 1917 1693 1895 624 1406 2409
"55071" 342 330 623 253 375 458
"138199" 654 966 1179 474 624 1199
"257169" 64 64 114 27 124 52
"286223" 55 57 89 35 47 37
"375759" 22 13 11 6 14 9
"84267" 1157 2760 4118 1172 2172 3493
"157983" 66 173 262 217 298 195
"90120" 2249 3473 4760 2926 2730 5618
"203228" 773 1217 724 643 173 738
"51759" 3810 6282 8753 4731 5492 8311
"158401" 6 20 22 3 21 16
"138241" 1009 980 1030 458 479 1151
"84270" 426 3030 3055 1015 1274 2600
"203197" 1559 6000 5873 3566 5953 4747
"11092" 786 894 1710 1020 982 1060
"56934" 2 0 2 0 0 7
"770" 462 742 639 267 118 282
"771" 379 52413 109600 25045 74233 64101
"377677" 1376 266 353 111 87 782
"23632" 146 276 1216 184 129 118
"760" 396 1478 6926 1976 576 958
"761" 752 93 55 129 8 160
"762" 57 18 68 10 2 6
"763" 4 3 6 3 6 10
"11238" 1281 1445 1717 1151 1541 1959
"765" 2963 8 16 0 0 4
"767" 604 1024 1078 558 620 190
"768" 6 10 114 4 0 156
"81617" 1295 4398 4853 1897 2914 4466
"51719" 5392 12352 13026 5408 9300 11638
"23523" 5918 4641 12493 5680 5990 10706
"91768" 1918 1819 4611 1965 3858 2382
"81928" 847 2304 1758 857 563 1263
"9478" 15 25 53 26 12 27
"57010" 9 61 171 89 171 39
"164633" 41 77 178 105 111 116
"26256" 733 479 1660 305 1544 450
"57685" 6168 2766 3340 1069 510 3274
"773" 166 100 147 66 96 355
"774" 1944 17 4 5 14 4
"775" 1182 1713 2190 771 882 4564
"776" 724 2654 3970 382 2922 980
"777" 2 21 25 21 34 11
"778" 35 66 244 74 220 28
"8913" 90 93 370 193 101 512
"8912" 38 6478 608 1999 2401 1916
"8911" 26 26 296 58 929 22
"781" 1383 865 624 149 625 1742
"9254" 484 3097 3246 1275 1329 460
"55799" 143 857 284 152 174 304
"93589" 128 184 334 188 253 310
"782" 323 321 461 187 184 318
"783" 268 1086 319 120 122 872
"784" 1819 2847 9082 2069 1933 4224
"785" 244 634 454 103 103 754
"786" 2 39 446 337 341 820
"27092" 349 6161 18962 10703 15208 26737
"59285" 0 154 0 6 17 0
"27101" 3362 7120 14439 5629 5304 6497
"23705" 9290 2949 4612 916 26706 18583
"253559" 597 8 62 74 16 33
"57863" 18 500 548 646 337 147
"199731" 3531 3203 8171 4894 4329 4082
"93664" 908 6964 9318 7876 2926 10528
"8618" 3 47 55 39 53 86
"790" 6162 4644 12450 3554 4168 8327
"285782" 9 23 15 4 6 7
"793" 10 19 10 13 3 11
"794" 32 482 172 118 155 1254
"797" 1 2 0 0 0 2
"57658" 6792 6887 9963 6207 6011 8148
"10241" 4201 13055 12975 8664 7557 15073
"10203" 538 7550 4122 1948 2751 3486
"799" 2 25 11 12 43 49
"800" 27003 49443 44990 15047 17078 87079
"255022" 11 16 13 17 4 18
"51063" 486 3447 4330 1660 1298 3409
"119395" 3 6 0 0 0 8
"801" 10721 33913 30608 23052 26197 33574
"805" 30551 47352 82417 46659 41461 62279
"808" 9808 22435 34473 29302 14656 32298
"810" 1560 1614 2394 2014 332 2829
"91860" 923 1293 1278 992 656 839
"51806" 14214 298 772 98 299 130
"163688" 3 9 19 18 19 10
"83698" 67 115 112 65 172 151
"811" 38576 54311 91607 60928 50138 119177
"813" 19341 24604 32553 10949 13756 69625
"50632" 0 2 8 1 0 0
"57118" 653 625 762 305 598 922
"57172" 3 30 8 3 4 4
"8536" 483 1353 1201 599 609 970
"815" 39 80 87 22 73 226
"816" 186 351 223 651 1162 139
"817" 6464 2427 10144 1891 1393 6488
"818" 1884 4323 4153 1829 2537 3513
"55450" 259 4799 12294 10483 6036 11105
"94032" 18 34 51 72 29 87
"814" 8 141 209 121 73 187
"84254" 577 605 950 882 642 728
"10645" 5918 8837 8453 4083 4453 11401
"79012" 11 4 1 2 0 0
"819" 3336 5724 7013 4119 2395 5741
"820" 2 76 132 34 17 24
"157922" 5317 4133 6771 2353 3024 5832
"23261" 2002 1593 3125 1968 1797 1956
"23125" 2847 3690 5479 2810 3784 5135
"55832" 12449 17649 24676 9490 10875 21038
"23066" 552 285 499 299 64 225
"124583" 6096 12387 18431 15174 11345 25056
"821" 76107 84156 117288 37982 63265 98793
"10487" 14128 25943 46655 29827 25104 61867
"10486" 1223 1230 6336 3482 2995 2260
"822" 3159 11278 17216 8263 16013 13947
"11132" 621 634 952 483 567 537
"11131" 18 151 205 123 36 63
"147968" 1797 2194 1860 1284 1363 1736
"92291" 301 2264 4213 2825 1556 1589
"440854" 8 20 23 2 14 6
"823" 12897 16204 18481 10912 19568 30325
"824" 9856 11483 26191 15216 24271 40522
"825" 730 327 263 119 248 250
"726" 1068 883 1978 638 402 1642
"827" 3420 461 1297 467 125 95
"23473" 3121 4547 5097 1739 3042 4889
"388743" 36 342 3448 1768 2673 1421
"10753" 114 246 527 659 91 633
"826" 13974 28062 44260 28853 23077 38605
"84290" 8 0 4 0 0 1
"4076" 26681 43028 53548 23437 24113 39446
"65981" 809 1359 1583 841 640 1780
"84698" 239 173 430 439 138 239
"133690" 4 131 58 68 138 39
"828" 2964 1144 3078 1178 8672 740
"829" 8186 12303 22338 7829 11516 22297
"830" 5859 11200 13641 6266 5512 15999
"93661" 58 6 29 8 0 4
"832" 10195 14307 42325 25133 17398 38012
"29775" 780 1468 3816 1924 1245 1167
"84433" 120 360 440 463 660 804
"79092" 643 1346 1716 1082 784 1412
"114769" 79 454 366 364 239 277
"440068" 0 3 2 5 0 0
"84674" 1123 935 1165 537 487 1217
"22900" 1626 3149 3827 1938 2422 2698
"64170" 317 86 246 109 170 279
"23589" 1267 3052 9812 4257 6188 7372
"55739" 2885 4690 5939 4223 6528 6505
"10498" 3896 3054 8630 5041 4232 8481
"57571" 89 113 75 109 83 36
"79587" 1697 1487 3207 2722 2923 4364
"833" 2685 3961 5978 2902 3113 4178
"9607" 0 1658 0 0 0 0
"55259" 107 157 446 532 617 158
"255082" 171 203 373 224 319 279
"22794" 12033 11324 17868 6701 8622 13270
"113201" 8045 22205 20975 6825 7255 29255
"57082" 281 810 1561 201 536 586
"64921" 2558 5073 6606 2132 3150 7045
"57524" 577 730 1539 807 2152 956
"57513" 3725 3323 5081 2324 3399 6288
"8573" 4680 8361 9116 3857 5939 10353
"843" 347 1070 864 556 490 943
"100506742" 0 30 10 5 3 7
"23581" 0 5 0 0 4 11
"834" 889 1521 1581 942 879 1290
"835" 6079 5060 10299 3355 4107 7354
"836" 1580 4022 4773 2087 2306 4003
"837" 3174 2531 3722 2090 1581 3377
"838" 0 11 5 3 1 0
"839" 995 2527 4782 2023 1702 4676
"840" 1469 5484 4182 1716 4880 4003
"9994" 3420 2920 2524 1210 1568 2656
"841" 1971 1435 3972 2175 1966 2535
"842" 939 957 1856 1087 1580 1354
"844" 7 100 147 105 18 34
"845" 108 385 324 167 104 81
"57091" 65 110 103 132 190 127
"831" 14427 24765 27621 10028 12254 33722
"54897" 3587 3785 7681 4685 6118 3576
"117144" 9 31 35 12 40 58
"440278" 153 242 341 135 375 294
"117155" 156 220 170 107 167 95
"347732" 22 85 107 69 60 65
"79820" 182 126 70 184 146 104
"57828" 111 160 362 685 246 264
"847" 6181 8774 10970 4089 5082 7944
"857" 8509 10629 11176 5647 3139 13929
"858" 5718 4530 3462 1758 966 4413
"9139" 4700 6598 6096 2915 3235 5032
"863" 99 1109 734 264 1541 191
"865" 4767 3811 4675 2717 2118 5400
"868" 1743 2051 3069 1566 1698 2133
"23624" 510 540 3329 2890 1429 1414
"79872" 2751 4020 6286 4015 3302 6311
"869" 4 12 88 13 10 24
"147381" 9 8 198 6 2 673
"643866" 124 613 595 151 346 434
"140689" 55 162 221 59 50 171
"867" 5059 3400 4815 1731 3240 4652
"873" 2663 4239 3264 1951 666 3194
"874" 379 1688 1325 1197 243 1065
"84869" 1898 2252 3582 1547 2512 2329
"875" 2110 712 1142 203 101 942
"55871" 1603 2616 5241 2207 2598 3945
"150472" 1422 2653 4009 1602 2285 2764
"445571" 2549 6248 8428 3419 4689 7496
"220869" 11 50 61 18 48 40
"644019" 609 999 1822 725 973 1571
"10951" 7535 10071 16918 6291 6412 17211
"84733" 2024 517 516 276 295 335
"11335" 11319 21850 31315 21079 15939 15843
"8535" 2224 2927 4278 3571 4094 3529
"23468" 22484 11417 26770 13134 15331 24353
"23466" 2127 1648 5618 1105 1343 3183
"23492" 1232 3249 6346 2507 2513 3103
"57332" 596 430 567 462 536 591
"25776" 1854 1814 5964 2648 2176 3357
"54862" 3029 2194 6829 2731 3546 4756
"200014" 1795 2451 3705 2306 2494 4826
"57545" 2284 1497 1820 481 1018 2455
"387707" 5 37 18 17 25 19
"55749" 4792 8731 10992 4407 5676 7974
"147372" 43 118 106 186 108 253
"883" 190 450 1132 327 396 612
"56267" 1934 4173 4320 1304 2719 3951
"112869" 970 827 2636 1141 1734 1146
"92922" 856 450 815 371 322 1262
"79839" 432 342 473 127 141 276
"388389" 271 732 1505 946 1155 1486
"29903" 672 1153 2647 1011 1720 1389
"203260" 532 1295 1622 1046 941 1620
"255101" 16 3 0 56 17 4
"55013" 267 1706 1992 862 1236 2781
"256309" 119 241 723 347 130 349
"153733" 725 928 1568 779 638 874
"29070" 1505 1056 2067 1135 596 1337
"93233" 182 33 290 361 184 51
"84317" 2695 4409 6413 3729 4101 4457
"164592" 18 2 5 16 4 11
"150275" 2780 17917 8598 3287 4046 6951
"90060" 1850 2188 3777 2066 1914 2989
"79635" 401 492 854 377 517 564
"160857" 513 408 821 450 443 965
"115098" 1817 2377 4768 3507 2606 4650
"202243" 1678 4051 3918 2597 3016 2361
"90693" 707 1636 647 730 431 1779
"133957" 1054 2123 2520 1178 1844 2172
"223075" 45 8 86 30 5 29
"151903" 1609 1802 3347 1683 2365 1567
"81576" 1084 833 1446 1104 1131 1173
"55610" 1622 3277 4322 2094 2764 3228
"79879" 304 228 459 192 203 383
"64753" 103 122 241 90 33 110
"339230" 876 1215 2119 1390 1160 2433
"165055" 385 231 507 286 191 215
"152206" 110 26 103 29 52 42
"285025" 18 46 70 20 43 23
"84865" 1271 2837 3217 1464 1803 2463
"9720" 257 70 158 86 73 261
"284047" 1501 577 1029 643 521 1386
"339184" 40 22 4 12 10 20
"57639" 997 689 665 676 928 533
"130940" 175 209 411 157 213 115
"91050" 1623 3109 4101 2123 1924 5960
"64770" 4354 3210 2885 2993 1153 2405
"284992" 238 263 365 192 235 277
"115948" 28 43 1456 165 143 41
"100129792" 5651 6203 8784 3506 2835 6515
"283152" 36 43 140 123 58 37
"645811" 28 72 43 310 235 17
"147872" 87 0 12 7 25 8
"550631" 183 113 735 310 394 274
"339965" 349 155 226 55 23 139
"126075" 494 722 1447 1318 1157 1142
"80071" 418 263 637 370 439 381
"347475" 258 353 296 682 235 493
"126661" 178 174 163 90 211 201
"149483" 31 18 49 39 48 53
"343099" 286 205 374 201 206 256
"28952" 1374 1624 2909 2318 2109 2366
"374969" 861 1037 1625 1357 680 1441
"149473" 278 700 2107 2021 1659 995
"55246" 2350 4986 8422 1561 2455 6331
"148870" 4 2 13 4 10 8
"25901" 895 1982 2061 805 1413 2653
"79140" 283 180 526 265 145 502
"728621" 670 754 1278 909 954 708
"80125" 0 12 2 2 4 4
"91057" 3103 1498 2748 1227 683 1078
"339834" 160 181 339 121 203 441
"339829" 149 171 137 68 176 194
"83643" 450 3215 1898 810 812 2154
"55036" 256 535 1170 951 1403 1218
"387885" 140 165 172 120 202 199
"124808" 1577 3249 3236 1782 1810 3430
"57003" 8775 13700 21896 6358 11643 29504
"152137" 6376 6598 7900 3557 3548 10691
"79714" 683 1118 2684 933 2626 1061
"51019" 873 1800 2702 776 1386 2351
"84692" 4 3 15 2 1 6
"284001" 1916 1721 3420 1896 2537 2798
"131076" 517 1073 1471 659 570 897
"29080" 1247 1876 2676 970 836 1651
"160777" 0 17 1 256 19 1
"729440" 280 526 799 1021 687 766
"84660" 70 97 97 37 59 91
"146439" 1151 1184 2776 2501 6579 1291
"92558" 93 2194 750 731 1927 1595
"85478" 116 50 603 225 175 129
"285331" 1046 1898 2418 1335 1266 873
"159989" 77 20 43 19 16 96
"80323" 31 370 531 172 271 188
"26112" 339 2593 2065 1582 1329 881
"8030" 11530 17241 19509 12755 14416 20457
"64925" 1443 2210 3709 1465 2498 2448
"493860" 185 187 249 151 107 185
"90557" 468 690 27629 1914 1988 1563
"91409" 181 693 8272 1253 486 595
"84318" 626 756 1211 655 445 724
"124093" 44 176 295 372 1001 26
"283847" 6 3 6 3 8 5
"79741" 106 221 297 170 160 165
"151887" 2654 16539 34004 17453 7722 75041
"60494" 21 31 25 23 20 34
"79780" 2015 928 992 387 415 1361
"220047" 0 8 8 20 1 0
"338657" 276 370 261 163 303 221
"114800" 484 149 277 159 1838 431
"11007" 410 736 2016 944 525 1155
"317762" 2324 2865 6245 3143 2021 3453
"79080" 2111 1513 2486 4707 1552 5787
"55231" 35 554 303 156 241 209
"55704" 5095 2443 2386 905 1269 4609
"283234" 295 406 1160 610 827 965
"440193" 5989 7001 13121 7739 4796 3407
"220388" 73 92 154 77 60 187
"83987" 10460 1870 5024 1555 2056 6114
"60492" 2050 2171 2413 2089 1820 3548
"55297" 1693 3096 4042 2123 1683 3512
"80212" 2172 3097 4087 2508 2326 9515
"54520" 4059 2624 5462 1559 2311 4812
"55702" 1257 805 2184 1738 997 1786
"257236" 77 374 1009 627 851 451
"90324" 4249 4346 7985 4840 3802 5706
"26093" 1062 2127 4321 2235 2063 3218
"54535" 1803 1097 3842 1293 772 1502
"881" 8 39 89 18 31 217
"886" 0 14 18 16 6 77
"887" 3 4 10 0 3 0
"885" 0 2 3 0 1 7
"6356" 7 89 115 14 23 312
"6357" 6 72 22 33 6 4
"6358" 214 817 2086 2160 507 251
"6360" 91 117 161 80 71 120
"6361" 8 45 50 104 50 3
"6362" 4 218 28 44 12 26
"6363" 39 3426 2220 2223 1616 19
"6364" 0 12 12 2 2 18
"6366" 95 2527 3072 308 502 487
"6367" 692 750 778 655 419 309
"6368" 5 31 16 10 20 2
"6369" 2 1 14 1 0 2
"6370" 6 6 4 9 0 10
"10344" 2 22 13 5 12 30
"56477" 2148 787 3228 222 957 559
"6347" 152 3112 1137 277 164 681
"6349" 16 36 23 15 8 68
"414062" 8 27 15 18 8 26
"6348" 69 149 41 50 44 360
"9560" 48 151 169 128 80 233
"6351" 36 159 94 278 109 260
"6352" 304 1728 4035 5603 1255 1346
"6354" 0 14 0 0 0 1
"6355" 18 275 80 6 11 63
"83605" 1617 3107 5223 2541 2384 4909
"8900" 71 84 81 36 113 55
"890" 694 1038 3182 842 547 1223
"57820" 8887 1231 4642 2035 943 2734
"891" 1373 2758 6924 2360 2012 2374
"9133" 641 948 2337 549 672 958
"85417" 167 39 190 41 53 45
"892" 5156 5801 4468 3521 4687 8157
"595" 37790 84609 86572 11667 41129 31532
"894" 288 4946 5306 2484 2379 16570
"896" 2567 4796 8722 5725 4165 6382
"23582" 2204 4578 6567 1946 2489 4646
"898" 191 176 243 225 75 193
"9134" 288 571 700 391 484 498
"899" 904 1421 3186 1726 2340 1360
"900" 10144 8916 14550 7197 7004 8572
"901" 7379 16735 19773 14675 8704 29257
"902" 1558 2476 3229 1657 1817 1996
"645121" 53 126 263 240 82 51
"10983" 29499 27269 63791 31616 19732 52082
"79616" 533 460 793 148 509 1141
"54619" 1220 931 947 1094 521 1030
"8812" 2822 5081 6971 3376 3274 6361
"57018" 4063 4816 3020 2539 2449 3787
"81669" 4209 3957 4646 3929 4304 3443
"10309" 112 138 1937 2286 624 994
"904" 1070 839 1178 362 473 1134
"905" 3147 4528 4196 2181 2390 3689
"151195" 1145 2370 1949 941 1160 3131
"219771" 7284 8095 18510 7017 6217 15951
"9236" 4914 15824 13846 4448 7828 19529
"2826" 18 42 127 32 29 93
"1230" 217 1074 409 251 359 695
"729230" 142 359 404 230 170 295
"1232" 3 17 9 3 6 156
"1233" 10 93 246 173 127 245
"1234" 75 688 629 692 301 776
"1235" 288 1041 529 3441 690 9736
"1236" 45 343 467 890 543 98
"1237" 0 70 0 56 8 29
"10803" 2 15 3 4 9 4
"9034" 16 473 141 102 84 122
"25819" 558 1052 2400 465 391 838
"9973" 1321 2126 2867 1849 1937 2062
"10576" 12656 11160 22841 13626 10794 12170
"7203" 18865 33216 75096 35607 22340 27915
"10575" 16896 16003 27195 11728 11175 18765
"22948" 12389 17140 32562 13309 14087 16886
"908" 17308 17087 27614 15824 13951 16559
"10693" 586 204 550 322 428 396
"643253" 397 499 319 372 229 284
"10574" 13649 20714 33493 14462 17290 20051
"10694" 12108 17560 26872 12939 13691 15065
"9398" 252 145 177 170 54 167
"135228" 2406 4094 3792 1143 2431 9076
"929" 2500 3811 3143 962 1559 5943
"977" 17568 23478 46615 21368 30250 38055
"11126" 227 73 112 83 76 79
"283316" 315 215 220 81 70 265
"9332" 749 2062 1227 2276 1714 2244
"388611" 110 52 273 108 232 26
"8763" 31843 64814 39647 37541 28435 70141
"57126" 33 39 0 20 2058 73
"4064" 2490 508 334 292 547 655
"930" 5 22 10 60 387 12
"909" 0 40 18 32 265 16
"910" 0 14 49 92 18 2
"911" 18 94 356 352 173 53
"912" 35 124 204 133 122 119
"913" 10 109 269 451 165 56
"131450" 6 82 109 64 32 111
"4345" 1329 2712 1158 565 623 1922
"50489" 240 134 183 140 776 269
"30835" 243 410 465 218 200 449
"10666" 18 123 99 96 46 145
"933" 22 371 586 480 1152 814
"51744" 13 45 74 33 32 35
"919" 20 264 355 595 173 156
"57124" 721 3222 6469 2733 1979 12474
"100133941" 80027 234152 85070 91534 339498 245225
